Binnenwanderungssaldo nach Gemeindebezirken 2023;;;;;;;;;
Gemeindebezirk;Insgesamt;Binnenwanderungssaldo gegenüber den Bundesländern;;;;;;;
;;Burgenland;Kärnten;Niederösterr.;Oberösterr.;Salzburg;Steiermark;Tirol;Vorarlberg
Wien;1199;-367;1011;-6165;3183;1144;2064;593;-264
1. Innere Stadt;51;-2;18;-23;13;18;40;-10;-3
2. Leopoldstadt;582;44;69;-3;246;125;120;18;-37
3. Landstraße;263;-23;89;-166;154;60;119;34;-4
4. Wieden;-95;-14;7;-131;36;2;27;-9;-13
5. Margareten;347;6;58;-37;156;73;100;-1;-8
6. Mariahilf;102;-16;-2;-26;84;25;32;15;-10
7. Neubau;111;-8;32;5;56;-1;18;17;-8
8. Josefstadt;-326;3;-59;-288;23;11;-25;5;4
9. Alsergrund;-801;9;-95;-287;-208;-18;-116;-24;-62
10. Favoriten;1386;-37;315;-605;824;191;547;134;17
11. Simmering;-186;-56;77;-455;177;62;–;69;-60
12. Meidling;123;-21;66;-365;208;80;142;33;-20
13. Hietzing;-293;-54;14;-319;22;18;28;-7;5
14. Penzing;-307;-64;-3;-321;-10;9;76;16;-10
15. Rudolfsheim-Fünfhaus;422;5;80;-165;233;80;180;34;-25
16. Ottakring;650;37;80;-122;300;87;233;63;-28
17. Hernals;200;-1;38;-148;153;59;76;15;8
18. Währing;-56;-7;26;-112;29;9;–;6;-7
19. Döbling;-121;1;4;-303;43;25;73;35;1
20. Brigittenau;658;73;98;-101;286;79;179;40;4
21. Floridsdorf;-680;-95;48;-997;164;61;113;37;-11
22. Donaustadt;-296;-79;36;-632;140;69;93;61;16
23. Liesing;-535;-68;15;-564;54;20;9;12;-13
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
