Natürliche Bevölkerungsbewegung für Wien nach Monaten und Geschlecht 2023;;;;;;;;;
Monat;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Buben;Mädchen;;Männer;Frauen;;Männer;Frauen
2023;18072;9318;8754;17249;8515;8734;823;803;20
Jänner;1537;789;748;1691;822;869;-154;-33;-121
Februar;1326;692;634;1371;682;689;-45;10;-55
März;1475;746;729;1501;759;742;-26;-13;-13
April;1415;722;693;1439;747;692;-24;-25;1
Mai;1531;786;745;1419;687;732;112;99;13
Juni;1576;846;730;1251;626;625;325;220;105
Juli;1655;849;806;1349;704;645;306;145;161
August;1547;774;773;1335;668;667;212;106;106
September;1458;763;695;1285;601;684;173;162;11
Oktober;1566;808;758;1411;690;721;155;118;37
November;1493;765;728;1489;725;764;4;40;-36
Dezember;1493;778;715;1708;804;904;-215;-26;-189
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
