Bevölkerung nach Geburtsland, Geschlecht und Gemeindebezirken 2024;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1. 1.;;;Geburtsland;;;;;
;;;;Österreich;;;Ausland;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;2005760;982911;1022849;1199593;587456;612137;806167;395455;410712
1. Innere Stadt;16538;7888;8650;9810;4978;4832;6728;2910;3818
2. Leopoldstadt;110100;53974;56126;62246;30768;31478;47854;23206;24648
3. Landstraße;98398;47488;50910;56069;27413;28656;42329;20075;22254
4. Wieden;33155;16165;16990;18997;9522;9475;14158;6643;7515
5. Margareten;54400;27210;27190;28252;14076;14176;26148;13134;13014
6. Mariahilf;31386;15236;16150;18350;9085;9265;13036;6151;6885
7. Neubau;31513;15255;16258;19228;9412;9816;12285;5843;6442
8. Josefstadt;24499;12013;12486;14980;7306;7674;9519;4707;4812
9. Alsergrund;41631;19787;21844;24385;11853;12532;17246;7934;9312
10. Favoriten;220324;111939;108385;115310;57310;58000;105014;54629;50385
11. Simmering;110559;54879;55680;65632;32581;33051;44927;22298;22629
12. Meidling;101714;50297;51417;56237;27616;28621;45477;22681;22796
13. Hietzing;55505;26041;29464;39096;18645;20451;16409;7396;9013
14. Penzing;98161;47903;50258;64085;31289;32796;34076;16614;17462
15. Rudolfsheim-Fünfhaus;76381;38985;37396;37823;18903;18920;38558;20082;18476
16. Ottakring;102770;51517;51253;56704;27766;28938;46066;23751;22315
17. Hernals;56671;27976;28695;33363;16149;17214;23308;11827;11481
18. Währing;51395;23893;27502;33234;15524;17710;18161;8369;9792
19. Döbling;75400;35332;40068;48088;22947;25141;27312;12385;14927
20. Brigittenau;86930;43637;43293;44147;21876;22271;42783;21761;21022
21. Floridsdorf;186233;90783;95450;121227;59421;61806;65006;31362;33644
22. Donaustadt;220794;106354;114440;147328;72054;75274;73466;34300;39166
23. Liesing;121303;58359;62944;85002;40962;44040;36301;17397;18904
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
