Bevölkerungsentwicklung nach Komponenten in Wien 2023 bis 2052;;;;;;;;;
Jahr;"Bevölkerungsstand
Jahresanfang";Natürliche Bevölkerungsbewegung;;;Räumliche Bevölkerungsbewegung;;;"Gesamt-
veränderung";"Bevölkerungsstand
Jahresende"
;;Geburten;Sterbefälle;Saldo;Zuwanderung;Abwanderung;Saldo;;
2023;1982097;19589;17586;2003;94855;76574;18281;20284;2002381
2024;2002381;19898;17704;2194;94600;77359;17241;19435;2021816
2025;2021816;20175;17833;2341;94053;78372;15681;18022;2039838
2026;2039838;20417;17969;2448;93348;79488;13861;16309;2056147
2027;2056147;20621;18109;2513;92514;80604;11910;14423;2070570
2028;2070570;20792;18247;2545;92056;81247;10809;13354;2083924
2029;2083924;20939;18387;2553;91763;81631;10132;12685;2096609
2030;2096609;21069;18523;2546;91564;81896;9668;12214;2108823
2031;2108823;21185;18650;2535;91426;82117;9310;11845;2120668
2032;2120668;21290;18761;2529;91297;82293;9004;11533;2132201
2033;2132201;21284;18853;2431;91209;82484;8726;11157;2143358
2034;2143358;21268;18923;2346;91150;82689;8460;10806;2154164
2035;2154164;21245;18972;2273;91113;82911;8202;10475;2164638
2036;2164638;21217;19004;2214;91087;83141;7946;10160;2174798
2037;2174798;21186;19023;2163;91091;83399;7692;9855;2184653
2038;2184653;21155;19039;2116;91107;83667;7439;9555;2194209
2039;2194209;21126;19056;2070;91093;83906;7187;9256;2203465
2040;2203465;21099;19081;2018;91092;84157;6934;8953;2212418
2041;2212418;21074;19115;1958;91084;84401;6682;8640;2221058
2042;2221058;21050;19163;1887;91068;84638;6430;8317;2229376
2043;2229376;21030;19229;1802;91056;84879;6178;7980;2237355
2044;2237355;21014;19311;1703;91030;85104;5926;7629;2244984
2045;2244984;21000;19409;1591;90996;85322;5673;7265;2252248
2046;2252248;20989;19523;1467;90968;85546;5421;6888;2259136
2047;2259136;20981;19649;1331;90932;85763;5169;6501;2265637
2048;2265637;20974;19785;1189;90893;85976;4917;6106;2271743
2049;2271743;20969;19925;1044;90848;86183;4665;5709;2277452
2050;2277452;20963;20064;899;90794;86381;4413;5312;2282764
2051;2282763;20956;20199;757;90736;86576;4161;4917;2287680
2052;2287680;20947;20325;622;90671;86763;3908;4530;2292210
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik – Bevölkerungsprognose 2023.;;;;;;;;;
