Wanderungsströme nach Gemeindebezirken 2023;;;;;;;;
Gemeindebezirk;Wanderungsströme;;;;;;;
;Ausland;;übriges Österreich;;andere Gemeindebezirke;;"innerhalb der 
Gemeindebezirke";Wanderungs-saldo
;Zuzüge;Wegzüge;Zuzüge;Wegzüge;Zuzüge;Wegzüge;;
Wien;70069;48110;41891;40692;143352;143352;59478;23158
1. Innere Stadt;976;645;361;310;1110;1511;283;-19
2. Leopoldstadt;5487;3930;2314;1732;8111;8552;3421;1698
3. Landstraße;4044;2966;2348;2085;8157;7934;2792;1564
4. Wieden;1535;1263;660;755;3199;3779;527;-403
5. Margareten;2453;1861;1577;1230;4782;6382;1005;-661
6. Mariahilf;1449;1056;761;659;3102;3577;420;20
7. Neubau;1317;1001;726;615;2540;3077;471;-110
8. Josefstadt;2242;1522;818;1144;2187;2773;573;-192
9. Alsergrund;4357;1797;1080;1881;3702;6003;794;-542
10. Favoriten;7895;5220;5757;4371;12923;15537;10353;1447
11. Simmering;2974;2013;2044;2230;6694;6177;3275;1292
12. Meidling;3377;2263;2273;2150;8548;8350;2755;1435
13. Hietzing;1190;862;765;1058;3097;2922;1235;210
14. Penzing;2583;1660;2040;2347;7392;6605;2431;1403
15. Rudolfsheim-Fünfhaus;3754;2520;2133;1711;7218;8584;1749;290
16. Ottakring;3538;2623;2696;2046;8338;9660;2807;243
17. Hernals;2056;1382;1311;1111;5018;5324;1201;568
18. Währing;1725;1341;1014;1070;3651;4128;1063;-149
19. Döbling;2501;2102;1268;1389;4893;4855;2039;316
20. Brigittenau;4076;2886;2312;1654;7274;7922;2772;1200
21. Floridsdorf;3690;2692;2772;3452;10336;8492;5933;2162
22. Donaustadt;5097;3097;3098;3394;13253;7089;7796;7868
23. Liesing;1753;1408;1763;2298;7827;4119;3783;3518
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
