Religionsaustritte in Wien nach Monaten, Geschlecht und Religionsgemeinschaften 2019;;;;;;;
Monat;Insgesamt;Geschlecht;;Religionsaustritte aus (der)Ã¢â‚¬Â¦;;;
;;MÃƒÂ¤nner;Frauen;rÃƒÂ¶m.-kath.
Kirche;evangelischen Kirche A.B.;evangelischen Kirche H.B.;sonst. Religions-
gemeinschaften
2019;13753;6591;7162;11868;1533;85;267
JÃƒÂ¤nner;1542;730;812;1415;102;1;24
Februar;1562;750;812;1409;126;5;22
MÃƒÂ¤rz;1879;888;991;1561;276;14;28
April;1380;691;689;1100;254;7;19
Mai;1189;567;622;1041;120;6;22
Juni;716;356;360;572;111;4;29
Juli;904;455;449;734;126;11;33
August;977;443;534;875;76;5;21
September;1058;496;562;968;64;7;19
Oktober;877;404;473;776;74;10;17
November;830;391;439;733;73;7;17
Dezember;839;420;419;684;131;8;16
Quelle: Stadt Wien Wahlen und verschiedene Rechtsangelegenheiten.;;;;;;;
