Bewohnte Hauptwohnsitzwohnungen in Wien seit 1991 (1);;;;;;;;;;
Jahr;Insgesamt (2);Bewohnte Hauptwohnsitzwohnungen – davon mit … Personen;;;;;;;Durchschnitt je Wohnung;
;;1;2,0;3,0;4,0;5,0;6 und mehr;;Nutzfläche in m2;Anzahl der Bewohnenden
;;;;;;;Nw (3);Np (4);;
1991;738962;307215;232950,0;111789,0;62891,0;16082,0;8035;58160;65,9966205246554;2,031190744014141
2001;770955;343670;233220,0;101903,0;63529,0;19664,0;8969;60950;69,18632767680059;1,9805948257191508
2011;837617;379767;244336,0;105820,0;68790,0;25175,0;13729;90667;72,3651048152079;2,046552302544
2021;926780;420200;262462,0;115631,0;80378,0;30711,0;17398;114513;72,8854118561039;2,07919894689138
2022;942611;428384;264703,0;116712,0;82459,0;31560,0;18793;124658;72,8060281494699;2,09211116780941
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen.;;;;;;;;;;
"(1) Stichtage: 1991 und 2001: 15. 5., ab 2011: 31. 10.
(2) Aufgrund von Schwierigkeiten bei der Datenerhebung ist der Wohnungsbestand in Wien leicht untererfasst.
(3) Nw = Anzahl der Wohnungen mit sechs und mehr gemeldeten Personen.
(4) Np = Gesamtzahl der Personen in Wohnungen mit sechs und mehr gemeldeten Personen.";;;;;;;;;;
