Bewohnte Wohnungen nach Gemeindebezirken 2022;;;;;;;;;;
Gemeindebezirk;Insgesamt;Bewohnte Wohnungen zum Stichtag 1. 1. – davon mit … Personen;;;;;;;Durchschnitt je Wohnung;
;;1;2,0;3,0;4,0;5,0;6 und mehr;;Nutzfläche in m2;Anzahl der Bewohnenden
;;;;;;;Nw (1);Np (2);;
Wien;942611;428384;264703,0;116712,0;82459,0;31560,0;18793;124658;72,8060281494699;2,09211116780941
1. Innere Stadt;8468;4213;2367,0;995,0;533,0;215,0;145;978;104,928318375059;1,92524799244213
2. Leopoldstadt;50957;23961;13921,0;6170,0;4177,0;1636,0;1092;7418;70,3213689973899;2,10393076515493
3. Landstraße;49384;24348;13820,0;5735,0;3585,0;1206,0;690;4583;72,8099789405475;1,94765511096711
4. Wieden;16591;8098;4609,0;2014,0;1209,0;435,0;226;1480;84,1373033572418;2,01603278886143
5. Margareten;28560;14651;7748,0;3142,0;1877,0;699,0;443;2984;64,1572829131652;1,91526610644257
6. Mariahilf;16074;8182;4588,0;1822,0;993,0;309,0;180;1207;77,5800671892497;1,94599975115092
7. Neubau;16976;8893;4795,0;1796,0;992,0;329,0;171;1124;78,3674599434495;1,85208529688972
8. Josefstadt;12320;6313;3431,0;1410,0;812,0;226,0;128;847;83,051461038961;1,99805194805194
9. Alsergrund;21889;11117;6197,0;2420,0;1447,0;476,0;232;1535;78,0406140070355;1,93311709077618
10. Favoriten;98554;42463;27062,0;12446,0;9482,0;4316,0;2785;18515;65,344978387483;2,20657710493739
11. Simmering;48593;19922;13646,0;6479,0;5159,0;2172,0;1215;7938;69,4924577614059;2,2313296153767
12. Meidling;47448;22154;12822,0;5690,0;3969,0;1714,0;1099;7250;65,3566009104704;2,099940988029
13. Hietzing;26415;11828;7579,0;3368,0;2423,0;830,0;387;2580;88,9390876395987;2,09899678213136
14. Penzing;47218;21779;13448,0;5822,0;4068,0;1373,0;728;4836;73,2333220382057;2,03748570460417
15. Rudolfsheim-Fünfhaus;37740;18646;10285,0;4268,0;2684,0;1147,0;710;4699;61,3211711711711;2,00423953365129
16. Ottakring;50806;24616;13813,0;5784,0;3975,0;1568,0;1050;6990;62,9519151281344;2,00868007715624
17. Hernals;27698;13041;7717,0;3334,0;2259,0;882,0;465;3081;69,3343562712109;2,0198570293884
18. Währing;25914;12667;6893,0;3170,0;2165,0;676,0;343;2274;79,3894805896426;1,98900208381569
19. Döbling;36265;17269;9916,0;4250,0;3064,0;1130,0;636;4332;83,0024817316972;2,0748655728664
20. Brigittenau;41141;19682;11120,0;4630,0;3222,0;1515,0;972;6415;61,5917697673853;2,07029483969762
21. Floridsdorf;84863;35912;24307,0;11138,0;8270,0;3230,0;2006;13300;74,0892379482224;2,15915063101705
22. Donaustadt;94771;36631;28517,0;13612,0;10414,0;3561,0;2036;13335;80,1800656318916;2,22710533813086
23. Liesing;53966;21998;16102,0;7217,0;5680,0;1915,0;1054;6957;81,1152577548827;2,1767594411296
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen.;;;;;;;;;;
"(1) Stichtag 31. 10. 2022.
(2) Aufgrund von Schwierigkeiten bei der Datenerhebung ist der Wohnungsbestand in Wien leicht untererfasst.
(3) Nw = Anzahl der Wohnungen mit sechs und mehr gemeldeten Personen.
(4) Np = Gesamtzahl der Personen in Wohnungen mit sechs und mehr gemeldeten Personen.";;;;;;;;;;
