Unselbstständige Beschäftigung in Wien nach Monaten, sozialrechtlicher Stellung und Geschlecht 2023;;;;;;;;;;;;
Monat;Insgesamt;Geschlecht;;Beschäftigungsverhältnisse;;;;;;;;
;;;;Arbeiterinnen und Arbeiter;;;Angestellte;;;Beamtinnen und Beamte;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Jänner;898883;460629;438254;220550;146310;74240;644268;295110;349158;34065;19209;14856
Februar;903158;463740;439418;222614;148349;74265;646599;296264;350335;33945;19127;14818
März;910023;469004;441019;227008;152008;75000;649528;298121;351407;33487;18875;14612
April;913322;471436;441886;229499;153813;75686;650381;298759;351622;33442;18864;14578
Mai;918036;475246;442790;233190;156791;76399;651625;299726;351899;33221;18729;14492
Juni;918769;475705;443064;234327;157291;77036;651331;299744;351587;33111;18670;14441
Juli;919481;475918;443563;232878;156385;76493;653792;301044;352748;32811;18489;14322
August;916722;474748;441974;231476;155853;75623;652694;300558;352136;32552;18337;14215
September;920344;476481;443863;232378;156290;76088;655692;301946;353746;32274;18245;14029
Oktober;925199;478660;446539;232971;156744;76227;660264;303849;356415;31964;18067;13897
November;925267;477736;447531;231127;155038;76089;662353;304728;357625;31787;17970;13817
Dezember;905868;462380;443488;216146;141812;74334;658312;302799;355513;31410;17769;13641
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;;;;;;;
