Betriebe, BeschÃƒÂ¤ftigte und weitere Kennzahlen in der SachgÃƒÂ¼tererzeugung in Wien 2018;;;;;;;;
Abteilung (Ãƒâ€“NACE 2008);Betriebe;BeschÃƒÂ¤ftigte im
Jahresdurchschnitt;;BruttolÃƒÂ¶hne
und -gehÃƒÂ¤lter;BetriebserlÃƒÂ¶se;Bezug von Waren- und
Dienstleistungen;Lagerbestand
Jahresende;Bruttoinvestitionen
in Sachanlagen
;;insgesamt;darunter
unselbststÃƒÂ¤ndig;Mio. EUR;;;;
Insgesamt;2715;57813;55739;2883,7;20604,3;16065,2;4777;472,5
Nahrungs- und Futtermittel;328;7599;7323;232,082;1392,633;1004,44;82,763;36,022
GetrÃƒÂ¤nkeherstellung;20;846;837;47,419;329,267;240,237;51,781;14,666
Textilien;57;398;352;11,627;67,821;48,385;5,983;1,853
Bekleidung;205;547;348;6,894;26,624;18,115;4,693;0,412
Leder/-waren) und Schuhe;39;158;121;2,873;10,911;6,224;1,489;0,157
Holzwaren; Korbwaren;108;703;614;19,644;70,432;37,079;9,018;1,731
Papier/Pappe und Waren daraus;22;2080;2072;114,251;560,565;406,896;43,258;19,536
Druckerzeugnisse;187;1840;1706;85,065;295,228;151,96;21,75;14,942
Kokerei und MineralÃƒÂ¶lverarbeitung;1;.;.;.;.;.;.;.
Chemischen Erzeugnisse;66;1852;1809;133,892;7298,129;6693,314;926,256;15,034
Pharmazeutische Erzeugnisse;43;5752;5732;342,006;1105,802;649,948;297,169;87,79
Gummi- und Kunststoffwaren;52;982;949;38,875;299,264;235,116;23,727;13,171
Glas(-waren), Keramik u. Ãƒâ€ž.;105;920;841;39,957;235,293;185,146;16,421;6,85
Metallerzeugung und -bearbeitung;9;.;.;.;.;.;.;.
Metallerzeugnisse;316;3508;3291;140,366;628,538;392,275;122,357;18,773
DatenverarbeitungsgerÃƒÂ¤te;109;2489;2434;132,637;588,757;367,562;81,328;12,551
Elektrische AusrÃƒÂ¼stungen;84;7176;7129;453,198;2084,994;1597,13;1100,816;123,852
Maschinenbau;97;3070;3024;186,283;761,408;544,416;258,63;13,763
Kraftwagen und -teile;12;2579;2576;132,992;874,885;539,984;146,468;24,64
Sonstiger Fahrzeugbau;15;1597;1591;109,109;476,106;379,447;550,847;8,526
MÃƒÂ¶bel;163;1099;953;32,016;117,025;70,762;13,648;2,656
Sonstige Waren;439;3333;2936;115,712;1338,714;1081,51;399,798;11,641
Reparatur/Installation von Maschinen;238;8958;8777;489,577;1822,667;1222,737;598,632;40,742
Quelle: Statistik Austria Ã¢â‚¬â€œ Leistungs- und Strukturstatistik 2018.;;;;;;;;
