ArbeitsstÃƒÂ¤tten und BeschÃƒÂ¤ftigte in Wien nach Geschlecht und WirtschaftstÃƒÂ¤tigkeiten 2018;;;;
Abschnitt und ausgewÃƒÂ¤hlte Abteilung
(Ãƒâ€“NACE 2008);ArbeitsstÃƒÂ¤tten;BeschÃƒÂ¤ftigte;;
;;insgesamt;Geschlecht;
;;;MÃƒÂ¤nner;Frauen
Insgesamt;156479;1092457;576725;515732
Land- und Forstwirtschaft;786;2176;1269;907
Bergbau;33;209;145;64
Herstellung von Waren;4017;57466;40472;16994
Nahrungs- und Futtermittel;521;8359;4726;3633
Elektrische AusrÃƒÂ¼stungen;103;7443;5658;1785
Reparatur/Installation v. Maschinen;293;6557;5493;1064
Pharmazeutische Erzeugnisse;138;5065;2812;2253
Maschinenbau;121;4543;3650;893
Metallerzeugnisse;469;4034;3115;919
Sonstige Waren;617;3400;1873;1527
Kraftwagen und -teile;78;2670;2461;209
DatenverarbeitungsgerÃƒÂ¤te;209;2403;1837;566
Chemische Erzeugnisse;89;1766;1130;636
Rest;1379;11226;7717;3509
Energieversorgung;289;2522;1704;818
Wasserversorgung und Abfallentsorgung;190;2575;1983;592
Abfallbehandlung;120;1925;1604;321
Beseitigung v. Umweltverschmutzungen;43;314;119;195
Rest;27;336;260;76
Bau;7513;62959;55903;7056
Sonst. BautÃƒÂ¤tigkeiten;6294;38596;33946;4650
Hochbau;1113;20754;18571;2183
Tiefbau;106;3609;3386;223
Handel;22082;142533;70287;72246
Einzelhandel;13481;78203;29250;48953
GroÃƒÅ¸handel;6854;50924;29941;20983
Kfz-Handel und -reparatur;1747;13406;11096;2310
Verkehr;5391;47446;38348;9098
Landverkehr;4317;27245;23528;3717
Dienstleistungen fÃƒÂ¼r den Verkehr;596;12853;9533;3320
Post- und Kurierdienste;414;6960;5036;1924
Luftfahrt;50;213;118;95
Schifffahrt;14;175;133;42
Beherbergung und Gastronomie;8520;69445;38312;31133
Information und Kommunikation;10158;64261;43522;20739
IT-Dienstleistungen;5189;27310;20698;6612
Informationsdienstleistungen;2496;13651;9228;4423
Telekommunikation;181;8038;5330;2708
Rest;2292;15262;8266;6996
Finanz- und Versicherungsleistungen;3968;44769;22811;21958
GrundstÃƒÂ¼cks- und Wohnungswesen;6233;24054;12562;11492
Freiberufliche/techn. Dienstleistungen;31673;108273;54228;54045
UnternehmensfÃƒÂ¼hrung, -beratung;9466;29561;16447;13114
Rechtsberatung und WirtschaftsprÃƒÂ¼fung;5913;24733;8884;15849
Architektur- und IngenieurbÃƒÂ¼ros;5004;19072;12154;6918
Werbung und Marktforschung;4908;17987;8371;9616
Rest;6382;16920;8372;8548
Sonst. wirtschaftl. Dienstleistungen;7313;95059;50371;44688
Ãƒâ€“ffentliche Verwaltung;691;126078;54464;71614
Erziehung und Unterricht;5129;82900;34134;48766
Gesundheits- und Sozialwesen;19826;91376;25820;65556
Kunst, Unterhaltung und Erholung;8202;28787;15658;13129
Sonst. Dienstleistungen;14465;39569;14732;24837
Quelle: Statistik Austria Ã¢â‚¬â€œ ArbeitsstÃƒÂ¤ttenzÃƒÂ¤hlung 2018.;;;;
