GÃƒÂ¤steÃƒÂ¼bernachtungen nach Gemeindebezirken seit 2006;;;;;;;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;9356044;9675208;10232472;9842827;10860126;11405048;12262828;12719289;13524266;14328261;14962438;15512730;16483497;17604573
1. Innere Stadt;1842739;1886813;1824962;1774470;1978827;2047280;2137689;2193825,00000002;2201172;2467265;2566709;2762168;2976413;3119868
2. Leopoldstadt;874211;933578;1025951;1016966;1150389;1302447;1491456;1511506;1689960;1774685;1836293;1873493;1969743;2190429
3. LandstraÃƒÅ¸e;1087388;1090125;1132139;1084001;1180504;1178340;1328440;1334574;1441047;1541620;1617513;1634872;1763715;1759510
4. Wieden;424922;419082;426300;400129;466373;583575;604494;599639,000000001;645860;662802;693377;690268;722676;786109
5. Margareten;446143;438727;419127;311030;415383;392326;410497;436568;518956;541035;559827,999999999;550493;570965;610601
6. Mariahilf;562058;587184;627733;570565;649583;632651;581200;650169,000000001;652690;678936;685431;697329;694895;725723
7. Neubau;657100;681896;698355;651923;726925;763228;738302;837124,000000002;869363;904399;1061004;1100966;1167041;1209783
8. Josefstadt;298002;310648;320165;316073;342492;383484;426356;413065;434365;483688;487699;511528;533531;531023
9. Alsergrund;474296;482822;499049;443443;454750;454227;452029;429091,000000003;443156;454027;397787;430539;513992;597528
10. Favoriten;525602;535323;650482;633758;712827;737000;766900;902687,000000003;971709;1162143;1303049;1435056;1597034;1833720
11. Simmering;18717;19829;82768;90817;102777;109124;133917;203920;243917;235048;271649;264766;287723;302556
12. Meidling;197273;222366;228017;211988;225813;234668;249933;250187;253883;219209;240624;252974;246471;230717
13. Hietzing;284964;277372;264889;231216;140465;140898;243744;238021;265369;275706;273863;299628;322279;289729
14. Penzing;310759;298206;290188;236046;217106;298429;392250;386574;405218;463358;484142;486392;455573;481295
15. Rudolfsheim-FÃƒÂ¼nfhaus;459588;515402;570989;639654;723053;684508;869802;920568,999999999;927511;896411;913892,999999999;950086;918589;976028
16. Ottakring;102117;97294;106343;150384;163770;172767;152243;145210;167978;164040;170454;173768;208045;232769
17. Hernals;86999;118150;208806;272603;298081;323966;345243;332870;333381;336399;348659;316324;316621;349897
18. WÃƒÂ¤hring;43745;47046;42181;38436;38212;43345;7419;38995;46507;57051;12606;17703;23745;26310
19. DÃƒÂ¶bling;140786;159744;173677;151899;153781;159221;144047;115137;159846;169506;194260;180193;197719;205745
20. Brigittenau;106179;112315;116093;96509;105453;114831;110105;123474;131994;132855;152070;170229;230469;314415
21. Floridsdorf;28471;32534;34233;27038;29955;36821;55559;49581;46146;40623;43154;40600;49494;55738
22. Donaustadt;294690;339810;416284;424248;512065;534221;551287;546056,000000001;608947;612237;590838;607519;659004;699926
23. Liesing;89295;68942;73741;69631;71542;77691;69916;60447,0000000001;65291;55218;57536;65836;57760;75154
Quelle: MA 23.;;;;;;;;;;;;;;
