UnselbststÃƒÂ¤ndig BeschÃƒÂ¤ftigte in Unternehmen in Wien nach Geschlecht und WirtschaftstÃƒÂ¤tigkeiten 2018;;;;;;
Abschnitt und ausgewÃƒÂ¤hlte Abteilung
(Ãƒâ€“NACE 2008);Insgesamt;UnselbststÃƒÂ¤ndig BeschÃƒÂ¤ftigte;;;;
;;Geschlecht;;darunter fremde StaatsangehÃƒÂ¶rigkeit;;
;;MÃƒÂ¤nner;Frauen;insgesamt;MÃƒÂ¤nner;Frauen
Insgesamt;1130652;606354;524298;253760;140062;113698
Land- und Forstwirtschaft;1371;843;528;831;518;313
Bergbau;77;53;24;20;9;11
Herstellung von Waren;67319;48769;18550;12718;8494;4224
Elektrische AusrÃƒÂ¼stungen;10678;8344;2334;1085;736;349
Nahrungs- und Futtermittel;9786;5186;4600;3679;2104;1575
Reparatur/Installation v. Maschinen;9303;8110;1193;810;679;131
Pharmazeutische Erzeugnisse;5384;2917;2467;914;461;453
Maschinenbau;5163;4207;956;951;748;203
Sonstiges Fahrzeugbau;4055;3495;560;378;305;73
Metallerzeugnisse;3374;2578;796;942;763;179
Sonstige Waren;2772;1433;1339;645;305;340
Kraftwagen und -teile;2553;2354;199;253;225;28
Papier/Pappe und Waren daraus;2447;1758;689;550;393;157
Rest;11804;8387;3417;2511;1775;736
Energieversorgung;2524;2015;509;144;100;44
Wasserversorgung und Abfallentsorgung;1708;1448;260;310;278;32
Abfallbehandlung;1530;1300;230;249;223;26
Abwasserentsorgung;122;108;14;55;51;4
Rest;56;40;16;6;4;2
Bau;58682;52135;6547;25954;24331;1623
Sonst. BautÃƒÂ¤tigkeiten;36286;31890;4396;16849;15703;1146
Hochbau;18594;16674;1920;7973;7528;445
Tiefbau;3802;3571;231;1132;1100;32
Handel;129057;57626;71431;30277;14187;16090
Einzelhandel;66442;18430;48012;17344;5883;11461
GroÃƒÅ¸handel;51223;29981;21242;10205;5965;4240
Kfz-Handel und -reparatur;11392;9215;2177;2728;2339;389
Verkehr;79160;64350;14810;14621;12406;2215
Landverkehr;32242;28654;3588;8911;8122;789
Dienstleistungen fÃƒÂ¼r den Verkehr;25575;21640;3935;2602;2023;579
Post- und Kurierdienste;20999;13845;7154;2977;2172;805
Luftfahrt;296;169;127;98;59;39
Schifffahrt;48;42;6;33;30;3
Beherbergung und Gastronomie;67595;36463;31132;36054;19790;16264
Information und Kommunikation;66093;43639;22454;9777;6193;3584
IT-Dienstleistungen;23367;17203;6164;5109;3435;1674
Telekommunikation;14636;10431;4205;905;610;295
Informationsdienstleistungen;12271;7968;4303;2095;1335;760
Rest;15819;8037;7782;1668;813;855
Finanz- und Versicherungsleistungen;58011;30397;27614;6521;3385;3136
GrundstÃƒÂ¼cks- und Wohnungswesen;15642;7190;8452;3402;1783;1619
Freiberufliche/techn. Dienstleistungen;86630;39248;47382;17990;8358;9632
UnternehmensfÃƒÂ¼hrung, -beratung;23019;11708;11311;5312;2726;2586
Rechtsberatung und WirtschaftsprÃƒÂ¼fung;20944;5941;15003;3039;699;2340
Architektur- und IngenieurbÃƒÂ¼ros;15932;9474;6458;3581;1989;1592
Werbung und Marktforschung;14404;6100;8304;2666;1259;1407
Rest;12331;6025;6306;3392;1685;1707
Sonst. wirtschaftl. Dienstleistungen;93467;49660;43807;40550;21206;19344
Ãƒâ€“ffentliche Verwaltung;211392;103689;107703;12337;4397;7940
Erziehung und Unterricht;70822;28721;42101;15285;6179;9106
Gesundheits- und Sozialwesen;69794;17780;52014;14594;3236;11358
Kunst, Unterhaltung und Erholung;20044;10552;9492;4569;2260;2309
Sonst. Dienstleistungen;31264;11776;19488;7806;2952;4854
Quelle: Statistik Austria Ã¢â‚¬â€œ ArbeitsstÃƒÂ¤ttenzÃƒÂ¤hlung 2018.;;;;;;
