Studierende an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Wintersemester 2023/24;;;;;;;
Hochschule;Insgesamt;Studierende an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;197208,723;130542,58;58949,377;71593,20300000001;66666,143;29172,796;37493,347
Öffentliche Universitäten;155968;103083;47484;55599;52885;23308;29577
Universität Wien;81976;54896;20353;34543;27080;10251;16829
Technische Universität Wien;25229;16363;11938;4425;8866;5370;3496
Universität für Bodenkultur Wien;10011;7274;3496;3778;2737;1255;1482
Veterinärmedizinische Universität Wien;2504;1582;327;1255;922;236;686
Wirtschaftsuniversität Wien;21536;14035;7646;6389;7501;3860;3641
Medizinische Universität Wien;8186;5633;2455;3178;2553;1102;1451
Akademie der bildenden Künste Wien;1617;746;219;527;871;296;575
Universität für angewandte Kunst Wien;2061;1047;372;675;1014;346;668
Universität für Musik und darstellende Kunst Wien;2848;1507;678;829;1341;592;749
Privatuniversitäten;10600;4431;1480;2951;6169;2251;3918
Central European University Private University;1900;65;29;36;1835;756;1079
Charlotte Fresenius Privatuniversität;57;22;8;14;35;15;20
JML Jam Music Lab Private University for Jazz and Popular Music Vienna;219;88;50;38;131;66;65
MODUL University Vienna Privatuniversität (1);653;164;90;74;489;198;291
Musik und Kunst Privatuniversität der Stadt Wien;972;313;151;162;659;285;374
Sigmund Freud Privatuniversität (1);6285;3740;1134;2606;2545;720;1825
Webster Vienna Private University;514;39;18;21;475;211;264
Pädagogische Hochschulen;7441,723;6772,58;1674,377;5098,203;669,143;136,796;532,347
Pädagogische Hochschule Wien;4046,576;3633,373;993,18;2640,193;413,20300000000003;79,421;333,78200000000004
Private Pädagogische Hochschule der Erzdiözese Wien;2567,147;2356,207;371,197;1985,01;210,94;45,375;165,565
Hochschule für Agrar- und Umweltpädagogik Wien;828;783;310;473;45;12;33
Fachhochschulen;23199;16256;8311;7945;6943;3477;3466
FHWien der WKW;3761;3074;1406;1668;687;249;438
Fachhochschule des bfi Wien;6185;3052;1518;1534;3133;1637;1496
Bundesministerium für Landesverteidigung;19;19;18;1;0;0;0
Fachhochschule Campus Wien;6474;6474;2475;3999;0;469;895
Lauder Business School;420;75;41;34;345;155;190
Fachhochschule Technikum Wien;4976;3562;2853;709;1414;967;447
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;
(1) Inkl. ausländische Standorte.;;;;;;;
"Anmerkung: Mehrfachzählungen aufgrund von Mehrfachstudien nicht ausgeschlossen. Öffentliche Universitäten: ordentliche Studierende und Lehrgang-Studierende. 
Privatuniversitäten: ordentliche Studierende und Lehrgang-Studierende. Pädagogische Hochschulen: Lehramt-Studierende. Fachhochschulen: Belegte ordentliche Studien und belegte Lehrgang-Studien.";;;;;;;
