Schülerinnen und Schüler in allgemein bildenden Pflichtschulen nach Gemeindebezirken 2022/23;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;Volksschulen;Mittelschulen;Sonderschulen (1);Polytechn. Schulen
Wien;119969;78425;35295;3537;2712
1. Innere Stadt;870;710;160;–;–
2. Leopoldstadt;6991;4574;2199;218;–
3. Landstraße;5342;3229;1478;330;305
4. Wieden;2388;1683;499;14;192
5. Margareten;1700;1078;565;57;–
6. Mariahilf;1741;1099;539;68;35
7. Neubau;2331;1340;716;–;275
8. Josefstadt;1171;935;236;–;–
9. Alsergrund;1367;1093;273;1;–
10. Favoriten;14931;9108;5270;240;313
11. Simmering;7449;4751;2620;78;–
12. Meidling;5137;3188;1844;105;–
13. Hietzing;2811;2126;546;139;–
14. Penzing;5178;3698;1246;234;–
15. Rudolfsheim-Fünfhaus;4353;2468;1442;156;287
16. Ottakring;4698;2979;1625;94;–
17. Hernals;2715;1896;651;168;–
18. Währing;4071;2775;754;352;190
19. Döbling;3543;2487;930;126;–
20. Brigittenau;5301;3042;1820;176;263
21. Floridsdorf;12781;8194;3956;343;288
22. Donaustadt;14426;10317;3433;390;286
23. Liesing;8674;5655;2493;248;278
Quelle: Statistik Austria – Schulstatistik.;;;;;
(1) Inkl. Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.;;;;;
