Schülerinnen und Schüler in Wien nach Schultypen und Geschlecht 2022/23;;;;;
Schultyp;Insgesamt;Schülerinnen und Schüler;;;
;;Geschlecht;;;
;;Schüler;Schülerinnen;Schüler;Schülerinnen
;;absolut;;%;
Schultypen insgesamt;254089;130215;123874;51,24779112830543;48,75220887169456
Allgemein bildende Pflichtschulen insgesamt;119969;63695;56274;53,09288232793472;46,90711767206528
Volksschulen;78425;40600;37825;51,76920624800765;48,23079375199235
Mittelschulen;35295;19131;16164;54,20314492137697;45,79685507862303
Sonderschulen (1);3537;2354;1183;66,5535764772406;33,4464235227594
Polytechnische Schulen;2712;1610;1102;59,365781710914455;40,634218289085545
Allgemein bildende höhere Schulen;65737;30722;35015;46,734715609169875;53,265284390830125
Unterstufe;38005;18659;19346;49,096171556374166;50,90382844362584
Oberstufe (2);27732;12063;15669;43,498485504110775;56,501514495889225
Sonst. allgemein bild. (Statut-)Schulen (3);5144;2688;2456;52,255054432348366;47,744945567651634
Berufsschulen insgesamt;21225;13157;8068;61,988221436984695;38,01177856301531
Gewerbliche und kaufmännische Berufsschulen;21225;13157;8068;61,988221436984695;38,01177856301531
Berufsbildende mittlere Schulen;8022;4515;3507;56,282722513089;43,717277486910994
Technisch-gewerbliche mittlere Schulen;3534;2759;775;78,0701754385965;21,929824561403507
Kaufmännische mittlere Schulen;2957;1295;1662;43,79438620223199;56,20561379776801
Wirtschaftsberufl. mittlere Schulen;1062;380;682;35,781544256120526;64,21845574387947
Sozialberufliche mittlere Schulen;262;49;213;18,702290076335878;81,29770992366412
Mittl. Schulen für päd. Assistenzberufe;207;32;175;15,458937198067632;84,54106280193237
Sonstige berufsbild. (Statut-)Schulen;1782;654;1128;36,7003367003367;63,2996632996633
Berufsbildende höhere Schulen;28377;13488;14889;47,53145152764563;52,46854847235437
Technisch-gewerbliche höhere Schulen;14179;9343;4836;65,8932223711122;34,10677762888779
Kaufmännische höhere Schulen;7972;2861;5111;35,88810837932765;64,11189162067235
Wirtschaftsberufliche höhere Schulen;2746;746;2000;27,16678805535324;72,83321194464676
Sozialberufliche höhere Schulen;99;14;85;14,14141414141414;85,85858585858585
Land- und forstwirtschaftliche höhere Schulen;200;101;99;50,5;49,5
Bildungsanst. für Elementarpädagogik;2726;304;2422;11,151870873074103;88,8481291269259
Bildungsanstalten für Sozialpädagogik;455;119;336;26,153846153846157;73,84615384615385
Bundessportakademien;994;625;369;62,87726358148893;37,12273641851107
Schulen im Gesundheitswesen;2839;671;2168;23,63508277562522;76,36491722437478
Quelle: Statistik Austria – Schulstatistik.;;;;;
"(1) Inkl. Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.
(2) Inkl. Oberstufenrealgymnasien, Aufbau- und Aufbaurealgymnasien und AHS für Berufstätige.
(3) Inkl. Schulen mit ausländischem Lehrplan.";;;;;
