Bevölkerung nach Altersgruppen und Gemeindebezirken 2019 – Frauen;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1.1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;972488;57145;34687;86005;145650;212921;201219;140960;93901
1. Innere Stadt;8457;348;223;563;1043;1581;1805;1667;1227
2. Leopoldstadt;53244;3295;1927;4743;8705;12522;10317;6850;4885
3. Landstraße;47245;2448;1458;3573;7546;11042;9770;6781;4627
4. Wieden;17154;808;480;1253;3010;3902;3451;2535;1715
5. Margareten;27934;1446;823;1964;5538;6839;5360;3754;2210
6. Mariahilf;16285;725;395;1009;3220;3993;3208;2382;1353
7. Neubau;16730;776;425;1027;3376;4220;3280;2297;1329
8. Josefstadt;12784;531;323;915;2725;2830;2435;1901;1124
9. Alsergrund;21805;993;528;1491;4770;5204;3931;3003;1885
10. Favoriten;102178;6868;4133;9966;14864;21728;20550;14521;9548
11. Simmering;52345;3647;2175;5343;7247;11731;10837;7207;4158
12. Meidling;49679;2939;1762;4588;7625;10950;10009;7104;4702
13. Hietzing;28602;1459;967;2302;3005;5492;6006;4877;4494
14. Penzing;47728;2697;1542;4032;6275;10042;10408;7663;5069
15. Rudolfsheim-Fünfhaus;38458;2224;1245;3239;7115;9058;7483;5122;2972
16. Ottakring;52205;3090;1821;4407;8210;11808;10695;7537;4637
17. Hernals;29115;1702;924;2426;4713;6773;5785;4141;2651
18. Währing;27552;1485;910;2238;4385;6154;5511;3828;3041
19. Döbling;38946;2015;1281;3337;5000;7597;7849;6088;5779
20. Brigittenau;43626;2595;1535;3983;7313;9446;8730;6084;3940
21. Floridsdorf;85414;5417;3503;8283;11054;17459;18897;12605;8196
22. Donaustadt;99268;6239;4158;10139;12593;21450;22793;13949;7947
23. Liesing;55734;3398;2149;5184;6318;11100;12109;9064;6412
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik;;;;;;;;;
