Wanderungsströme nach Geschlecht und Gemeindebezirken 2018;;;;;;;;;
Gemeindebezirk;Wanderungsströme;;;;;;;;
;Zuzüge;;;Wegzüge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien *;88535;47512;41023;82856;45421;37435;5679;2091;3588
1. Innere Stadt;2012;1009;1003;2095;1028;1067;-83;-19;-64
2. Leopoldstadt;16284;8822;7462;17075;9300;7775;-791;-478;-313
3. Landstraße;14769;7894;6875;13952;7388;6564;817;506;311
4. Wieden;5801;3135;2666;5836;3216;2620;-35;-81;46
5. Margareten;9601;5095;4506;9949;5312;4637;-348;-217;-131
6. Mariahilf;5551;2924;2627;5782;3089;2693;-231;-165;-66
7. Neubau;5248;2589;2659;5457;2862;2595;-209;-273;64
8. Josefstadt;6680;4467;2213;6888;4578;2310;-208;-111;-97
9. Alsergrund;8115;4166;3949;8743;4542;4201;-628;-376;-252
10. Favoriten;31499;17970;13529;29910;17110;12800;1589;860;729
11. Simmering;13423;7360;6063;12224;6727;5497;1199;633;566
12. Meidling;14856;8079;6777;14907;8070;6837;-51;9;-60
13. Hietzing;6255;3238;3017;6507;3532;2975;-252;-294;42
14. Penzing;11923;6456;5467;11743;6273;5470;180;183;-3
15. Rudolfsheim-Fünfhaus;14317;8096;6221;15860;8969;6891;-1543;-873;-670
16. Ottakring;16098;9079;7019;17297;9580;7717;-1199;-501;-698
17. Hernals;9133;5044;4089;9615;5338;4277;-482;-294;-188
18. Währing;7292;3564;3728;7489;3726;3763;-197;-162;-35
19. Döbling;9714;4845;4869;9127;4693;4434;587;152;435
20. Brigittenau;13737;7554;6183;14639;7916;6723;-902;-362;-540
21. Floridsdorf;20190;10589;9601;17718;9359;8359;2472;1230;1242
22. Donaustadt;20630;10344;10286;17100;8692;8408;3530;1652;1878
23. Liesing;12241;6197;6044;9777;5125;4652;2464;1072;1392
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
* Summe ohne Wanderungsfälle zwischen den Gemeindebezirken.;;;;;;;;;
