Bevölkerung nach Gemeindebezirken seit 2002;;;;;;;;;;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;1571123;1592846;1610410;1632569;1652449;1661246;1671221;1680135;1689995;1702855;1717084;1741246;1766746;1797337;1840226;1867582;1888776;1897491
1. Innere Stadt;17630;17541;17384;17294;17285;17147;16976;16623;16525;16385;16290;16268;16131;16339;16411;16465;16450;16306
2. Leopoldstadt;89016;89954;90837;91364;92170;93313;93463;93822;94735;95302;96582;96866;99597;101702;103225;105003;105574;104946
3. Landstraße;82227;82297;83019;83827;84208;83919;83050;82979;83061;83955;84574;85508;86454;88125;89806;90183;90712;91745
4. Wieden;28975;29348;29394;29573;30126;30189;30262;30348;30331;30541;30724;30989;31452;31691;32751;33035;33319;33263
5. Margareten;49785;50367;51098;51882;52534;52286;52434;52288;52354;52753;52581;53071;53610;54246;54938;55356;55640;55407
6. Mariahilf;28525;28805;28891;29012;29369;29463;29430;29197;29323;29308;29388;30117;30613;31000;31620;31865;32069;31864
7. Neubau;28912;28968;29012;29161;30416;29955;30054;29878;30069;30062;30101;30309;30792;31291;32020;32197;32467;32288
8. Josefstadt;22219;23156;23309;23588;23597;23613;23703;23639;23435;23379;23560;23930;24279;24518;25054;25528;25662;25466
9. Alsergrund;38290;38304;38865;39472;39264;39160;39466;39167;39344;39315;39431;39968;40528;40882;43095;42709;42547;41958
10. Favoriten;152796;156349;159105;163695;167238;169413;171113;173227;174749;176558;178358;182595;186450;189713;194746;198083;201882;204142
11. Simmering;78785;80485;81369;82429;82722;82903;85834;87966;89461;90394;91223;92274;93440;95198;97342;100137;101420;103008
12. Meidling;78971;80270;82178;83372;84240;85011;85736;86950;87462;88023;88515;89616;90874;92229;94170;95955;97624;97634
13. Hietzing;50341;50797;50896;51316;51356;51304;51127;50981;51015;50966;50650;50831;51275;52115;53813;54171;54265;53778
14. Penzing;79142;80185;80505;81785;82829;83246;83751;83980;84090;84566;84973;86248;87597;89303;91596;92337;92752;92990
15. Rudolfsheim-Fünfhaus;67482;67976;68760;69467;70235;70228;70291;70600;70830;71491;71651;73527;74791;76320;78349;78999;79029;77621
16. Ottakring;87914;89153;89822;91997;93817;93877;94193;94526;94816;94951;95704;97565;99094;100738;102605;104323;104627;103785
17. Hernals;48827;49428;50278;51316;52480;52626;52414;52253;52328;52293;52647;53489;54422;55628;56329;57180;57546;57292
18. Währing;45505;45872;46309;46921;47291;47333;47478;47619;47693;47575;47632;48162;48365;49178;50283;51128;51647;51587
19. Döbling;65327;66017;66437;66900;67389;67832;67961;67837;67865;68079;68460;68892;69242;69999;71609;72107;72650;72947
20. Brigittenau;76837;78792;79441;80758;81288;81719;81648;81986;82083;82969;83351;83977;84305;85525;85815;86868;87239;86502
21. Floridsdorf;129726;131892;133801;134904;136625;137335;138678;139498;140647;142199;144263;146516;148947;151844;155986;158712;162779;165673
22. Donaustadt;138100;140404;142620;144820;146892;149083;150967;153148;155527;158417;161957;165265;168394;172978;180272;184188;187007;191008
23. Liesing;85791;86486;87080;87716;89078;90291;91192;91623;92252;93374;94469;95263;96094;96775;98391;101053;103869;106281
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;
