Gesamtzuzüge nach Gemeindebezirken seit 2011;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
Wien *;80474;90441;94034;100138;115238;104906;98926;88535
1. Innere Stadt;1693;1710;1762;2031;1880;1956;1849;1786
2. Leopoldstadt;14063;13928;14459;14719;15013;15591;14728;13571
3. Landstraße;9795;10178;10440;11186;13144;12624;11973;12448
4. Wieden;3960;4335;4483;4402;5649;5432;5397;5386
5. Margareten;7120;7852;8004;8494;8990;8882;8967;8555
6. Mariahilf;4210;4910;4963;5056;5674;5228;5196;5158
7. Neubau;4201;4335;4622;4776;5119;5273;5037;4749
8. Josefstadt;5130;5229;5497;5861;6375;6370;6551;6145
9. Alsergrund;6726;7271;7461;7274;11297;8426;8236;7322
10. Favoriten;16220;19892;21488;21094;23339;23070;24735;22767
11. Simmering;8213;8402;8635;9366;10743;11300;9689;10297
12. Meidling;9710;10804;10765;11345;12833;13329;13855;12565
13. Hietzing;3965;4350;4566;5106;6272;5651;5583;4870
14. Penzing;7994;9057;9346;9671;10916;10158;10397;9873
15. Rudolfsheim-Fünfhaus;10763;12543;12321;13078;14668;14359;13754;12519
16. Ottakring;11530;12902;13132;13570;14714;15098;14328;13354
17. Hernals;7063;7847;8033;8473;8692;8715;8361;8059
18. Währing;5597;6097;5897;6360;6955;7448;6712;6234
19. Döbling;6550;6886;7233;7189;8302;7840;8216;7921
20. Brigittenau;9810;10444;10735;11259;11400;12188;12252;11405
21. Floridsdorf;11291;11920;11757;12690;14799;14366;15634;14690
22. Donaustadt;11372;11453;11573;13541;16985;14598;14135;15193
23. Liesing;6582;6564;6719;6768;7806;9574;9859;9350
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
* Summe ohne Wanderungsfälle zwischen den Gemeindebezirken.;;;;;;;;
