Bevölkerung nach Altersgruppen und Gemeindebezirken 2019 – Insgesamt;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1.1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;1897491;117906;71932;176855;291600;428849;398824;259116;152409
1. Innere Stadt;16306;732;425;1120;1996;3062;3691;3170;2110
2. Leopoldstadt;104946;6765;4055;9759;17458;25278;20999;12894;7738
3. Landstraße;91745;5112;3080;7245;15197;22167;19093;12425;7426
4. Wieden;33263;1641;982;2538;5785;7928;6943;4665;2781
5. Margareten;55407;2926;1691;4041;10843;14394;10862;7129;3521
6. Mariahilf;31864;1469;804;2009;6169;8358;6509;4382;2164
7. Neubau;32288;1583;868;2064;6421;8433;6559;4211;2149
8. Josefstadt;25466;1130;644;1847;5532;6120;4929;3455;1809
9. Alsergrund;41958;2068;1128;2954;9176;10453;7662;5482;3035
10. Favoriten;204142;14217;8536;20560;31079;45499;41901;26954;15396
11. Simmering;103008;7511;4543;10998;14754;23582;21582;13223;6815
12. Meidling;97634;6047;3641;9436;15536;22575;19984;13039;7376
13. Hietzing;53778;3069;1984;4751;6097;10550;11535;8598;7194
14. Penzing;92990;5585;3335;8362;12634;20136;20487;14061;8390
15. Rudolfsheim-Fünfhaus;77621;4563;2554;6748;14571;19411;15419;9643;4712
16. Ottakring;103785;6436;3656;9303;16784;24372;21653;14102;7479
17. Hernals;57292;3498;2049;4981;9396;13694;11653;7740;4281
18. Währing;51587;3010;1862;4437;8264;11830;10543;6764;4877
19. Döbling;72947;4117;2686;6859;9736;14605;15010;10689;9245
20. Brigittenau;86502;5391;3216;8231;14723;19669;17737;11275;6260
21. Floridsdorf;165673;11203;7159;17071;22084;34304;37023;23223;13606
22. Donaustadt;191008;12942;8601;20922;24785;40834;43988;25644;13292
23. Liesing;106281;6891;4433;10619;12580;21595;23062;16348;10753
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
