Bevölkerungsprognose nach Gemeindebezirken 2018 bis 2037 – Jährliche Bevölkerungsveränderung;;;;;;;;;;
Gemeindebezirk;Bevölkerungsprognose;;;;;;;;;
;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Wien;12752,5314162994;12670,4062102226;12569,8477684996;12445,7644027122;12295,1023609032;12127,2613461034;11934,4413602241;11719,2313599592;11492,7203173216;11233,1679813584
1. Innere Stadt;66,2920060620994;64,7086318709753;61,0792981362276;57,1115694821233;51,188652821475;44,1618559774305;35,6801342772593;25,8808396850753;14,757556348374;2,53830194578731
2. Leopoldstadt;678,600871499643;687,084398572136;668,385816191849;664,581755168074;646,304454845693;635,806746799927;619,168564589836;603,465154205087;585,580579142016;568,648437636889
3. Landstraße;565,276808598771;556,127411780439;534,553808581438;518,36820243826;494,221213273406;471,650966608978;444,704336066317;416,635305092747;386,116249995085;354,361391089445
4. Wieden;109,37933864074;103,787731243213;88,9220750320674;75,7439740993403;56,7304349812035;37,3416140949212;14,8510215635345;-9,65591413829012;-36,2988554713754;-63,9305104598891
5. Margareten;147,802173273757;144,453520338429;112,876392200505;90,3713705366197;52,1924805725824;17,5118724289276;-24,1416588773953;-68,4560983578939;-116,218929198385;-164,780917095426
6. Mariahilf;44,9392121044427;39,2442180250265;18,9899516243383;4,29982384670758;-18,5153182664408;-39,0239193153596;-62,8775968362311;-87,8662314994893;-114,462049391967;-141,256465838291
7. Neubau;81,6352617331981;75,3688883066064;56,4405604767606;42,8455401904285;22,475057828448;4,60271086446824;-15,9025846737823;-36,851277549005;-58,938016402753;-80,8785662333917
8. Josefstadt;199,530597018107;31,7695692100402;129,63528525316;29,6905982684134;72,6237956992823;13,3255772826514;10,6489142103653;-23,0623797009903;-29,9402432295376;-61,540350897363
9. Alsergrund;120,079420863403;120,043776245729;104,3752428621;94,2892623199315;76,049161839089;60,584956625221;41,704223602332;22,4226488641459;1,81354731413084;-18,7076854144377
10. Favoriten;1478,68207545491;1521,47136712901;1516,76121233231;1529,44500027483;1516,27885839654;1512,61541319121;1497,46080993063;1482,71137754624;1463,43170744804;1443,25780765873
11. Simmering;934,336893904819;945,954192495108;956,891786330402;980,067003773807;1002,75003738888;1034,31465967509;1066,63683876221;1105,15420872795;1145,93044555501;1189,37956405015
12. Meidling;739,324689874458;740,772181289113;732,160436186926;734,183054513041;730,024170931741;731,730695300189;730,483413458122;731,118751812395;730,783878937423;730,782732215205
13. Hietzing;326,239866356202;331,603680055361;331,57446694212;332,182154348764;328,432526423961;323,602800566404;315,518109334584;305,564564190484;292,937637364849;278,178858581894
14. Penzing;717,014179214492;724,487800203883;729,297755158676;742,973010691577;754,629320092985;771,918495524213;788,24248977852;807,672654117607;827,225666339893;847,274217402341
15. Rudolfsheim-Fünfhaus;576,200140868187;572,57500318132;551,579276602802;538,514739043119;516,205811405676;497,720627324052;475,036641733529;452,333400042222;427,570107989963;402,426977549005
16. Ottakring;725,022615210477;727,610387569742;704,620346750597;690,383143982065;661,782934817728;636,507074074895;604,421944536306;570,506481433688;532,585619760706;493,126464905451
17. Hernals;358,044146919658;357,480681048676;341,756693247314;333,188825556513;316,114033121913;302,284841317414;284,593438767131;266,303308517629;246,254053803185;225,703755690693
18. Währing;301,506542699128;295,562407202783;282,752645497959;276,078283895885;265,011648500137;257,004888581389;246,712581072487;236,72096221095;225,484598003741;214,038757698639
19. Döbling;419,618285267954;426,020627537961;426,143733267408;428,593917923175;425,753817561509;422,501987875904;415,407279443518;406,377055697179;394,424237654498;380,251067578269
20. Brigittenau;771,372013695279;776,406133161026;775,559870850512;787,479873464828;796,407994781562;813,907096234408;831,145178054275;853,580335619687;877,529796899856;903,703267195578
21. Floridsdorf;1260,19023399257;1259,91132158387;1249,17949136701;1246,02678416861;1233,69423891925;1222,86202553213;1205,36081281749;1185,99342962892;1161,76126486454;1134,38534453266
22. Donaustadt;1462,36066446053;1486,8862314894;1511,51019372159;1558,13362564414;1604,49693362633;1665,44548585173;1727,10955009266;1798,68212415152;1873,12405138095;1950,80108638392
23. Liesing;669,083378586521;681,076050682771;684,801429885571;691,21288908197;690,250101340282;688,882873687223;682,476918520371;674,000659661368;661,267412213338;645,404445182507
Gemeindebezirk;Bevölkerungsprognose;;;;;;;;;
;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037
Wien;10956,1503440836;10602,6811272272;10247,3881360633;9898,50474204862;9569,76775658644;9268,07887823583;8991,27869269795;8743,3264221285;8519,01504730111;8306,37301465459
1. Innere Stadt;-10,7684066502587;-5,01818476562116;-0,793799524476242;2,76548351072903;5,43886787333952;8,06661972653802;10,4252866279469;12,6666088934911;14,4330401705382;16,1982517711854
2. Leopoldstadt;548,742340475241;539,047609345998;526,253401972103;511,500361698822;496,524722793079;480,361338526306;464,977346724115;450,740910848512;437,905201863083;424,234834443007
3. Landstraße;320,643209932989;312,018280369143;301,738948323634;292,358351688585;282,756418798546;274,817378524549;268,013234909954;262,097319613843;256,89784437348;252,250813742098
4. Wieden;-93,798068399228;-76,1057887620623;-63,2003874635834;-52,9098942961162;-45,2297689816159;-38,8302996980483;-33,4849739587053;-28,6459542268774;-24,6907313260447;-21,4256037106982
5. Margareten;-218,0056523563;-172,436811575838;-138,317872381102;-112,478043482889;-92,8288508878595;-78,6075021264932;-67,3962430769591;-57,6827214517184;-49,7387955718755;-44,4804751328585
6. Mariahilf;-170,459686754441;-144,663370139347;-125,359042910918;-110,660972905509;-99,378994355918;-91,0489758215318;-84,440475192097;-78,6424823340766;-73,8091122156293;-70,3937980951991
7. Neubau;-104,537704138948;-87,4711527400221;-75,1837640587274;-66,2788198172212;-59,6864866031977;-55,247685769474;-51,8559836354941;-48,8155716443083;-46,2704554865486;-44,7424794123452
8. Josefstadt;-74,9355417219092;-58,8246460277994;-40,7490342367598;-36,7574928796576;-34,1553261588798;-29,7645500918657;-32,0098931702954;-29,3734307680957;-32,0317794367188;-28,8516758548732
