Bezirksvertretungswahlen Ã¢â‚¬â€œ Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2020;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung
;insgesamt;Geschlecht;;insgesamt;darunterÃ¢â‚¬Â¦;
;;MÃƒÂ¤nner;Frauen;;gÃƒÂ¼ltig;%
Wien;1362789;650658;712131;786777;769732;57,7328551962189
1. Innere Stadt;12677;6200;6477;8277;8164;65,2914727459178
2. Leopoldstadt;73764;35931;37833;43081;42238;58,4038284257904
3. LandstraÃƒÅ¸e;68561;32622;35939;40900;40105;59,6549058502647
4. Wieden;25133;12111;13022;15598;15308;62,0618310587674
5. Margareten;39319;19122;20197;22049;21591;56,0772145781937
6. Mariahilf;24831;12011;12820;15402;15155;62,0273045789537
7. Neubau;25280;12080;13200;16652;16400;65,870253164557
8. Josefstadt;18892;8992;9900;12813;12642;67,8223586703366
9. Alsergrund;32343;15215;17128;20524;20224;63,4573168846427
10. Favoriten;133427;65002;68425;67393;65620;50,5092672397641
11. Simmering;70229;33845;36384;37552;36776;53,4707884207379
12. Meidling;66672;32227;34445;34868;34016;52,297816174706
13. Hietzing;42342;19431;22911;28211;27774;66,6265174058854
14. Penzing;69361;32849;36512;41830;40918;60,3076656910944
15. Rudolfsheim-FÃƒÂ¼nfhaus;51318;25417;25901;25631;25155;49,9454382477883
16. Ottakring;70315;33922;36393;38837;37957;55,2328806086895
17. Hernals;40213;19130;21083;23381;22872;58,1428891154602
18. WÃƒÂ¤hring;38843;17772;21071;25741;25373;66,2693406791443
19. DÃƒÂ¶bling;55408;25407;30001;35032;34344;63,2255269997112
20. Brigittenau;55872;27061;28811;28924;28039;51,7683276059565
21. Floridsdorf;121675;57871;63804;67955;65980;55,8495993425108
22. Donaustadt;143548;67790;75758;85220;83268;59,366901663555
23. Liesing;82766;38650;44116;50906;49813;61,5059323876954
Quelle: StadtwahlbehÃƒÂ¶rde.;;;;;;
