W0005;;;;;;;;;;vormals F0035
Bezirksvertretungswahlen – Stimmenanteile der Parteien nach Gemeindebezirken 2015;;;;;;;;;;
Gemeindebezirk;Bezirksvertretungswahlen;;;;;;;;;
;SPÖ;FPÖ;GRÜNE;ÖVP;NEOS;ANDAS;GFW;sonstige Parteien *;;
;%;;;;;;;;;
Wien;35,92;27,9;15,07;11,96;5,52772763393001;1,42955899442829;0,884101108370424;1,30861226327127;;
1. Innere Stadt;24,1831493825811;18,730193421484;15,9654682548355;25,680253524205;9,45251885039886;0,710304884712053;-;5,27811168178341;;
2. Leopoldstadt;28,06;22,47;35,34;6,01;5,06;2,32;0,29;0,449999999999989;;
3. Landstraße;37,9362602067359;20,8025152111465;19,2689602135215;11,3727352921219;7,29682658161996;2,05152563841578;0,827848273054217;0,443328583384229;;
4. Wieden;32,0285544318858;15,0208209399167;26,133254015467;16,0916121356336;8,5841760856633;1,63593099345628;-;0,505651397977388;;
5. Margareten;38,7502087159793;19,8948071464351;22,8377024544999;8,14409751210553;6,20721322424445;2,72165637001169;0,768074803806979;0,676239772917015;;
6. Mariahilf;33,9382285782959;14,7758682850619;29,7981011897608;11,5851460161038;7,24672515322678;2,08508592717221;-;0,570844850378563;;
7. Neubau;24,6807535933116;13,5085609574529;41,0181526656359;10,1987058351944;8,07421405256829;1,90116245776785;0,13170703773693;0,486743400332116;;
8. Josefstadt;19,7048989678732;9,98691670300916;27,220526239279;30,5494984736154;5,97470562581771;2,1296700101759;0;4,43378398022968;;
9. Alsergrund;31,2786976485321;15,5094847177775;27,4477065071193;13,8444413524419;8,90496730207319;2,2262418255183;0,273642224386624;0,514818422151109;;
10. Favoriten;40,3997780444685;38,1815131689314;7,13225710709354;6,70512175293252;3,34868955905695;1,05170789619708;2,1421289664873;1,0388035048327;;
11. Simmering;40,8348249116527;41,7550139978888;5,56014502730736;5,00481894533939;3,42833539859562;0,897241727477167;1,73940979393272;0,780210197806227;;
12. Meidling;38,8253493267061;29,8176654071463;12,7203103999188;8,29508279867116;4,67628635914082;1,56214338244617;1,26290163061395;2,84026069535668;;
13. Hietzing;23,2900432900433;16,5688632355299;11,9384319384319;39,3458393458393;6,42937309603976;0,974827641494308;0,141093474426808;1,31152797819463;;
14. Penzing;35,2348628244457;27,241476840067;15,1621956791332;13,6152992624502;6,19411265583186;1,26188455931945;0,430781280595261;0,859386898157226;;
15. Rudolfsheim-Fünfhaus;39,0511454079867;24,8287078690567;21,1952384248045;6,68558377742404;4,48473942833414;2,1143331718458;1,12118485708354;0,519067063464604;;
16. Ottakring;38,7122951009715;26,5423941016902;17,0318332521852;8,82427952053048;4,87120632491711;1,88495513667664;1,4142959820083;0,718740581020597;;
17. Hernals;34,0649345513505;23,442875785977;19,8204611064974;12,4767667180765;7,20528334717444;1,79143433384743;0,715782813303278;0,48246134377348;;
18. Währing;22,1915215745647;13,2513247539743;28,0658591975776;27,2634367903104;7,48296744890235;1,07872823618471;0,234670704012112;0,431491294473901;;
19. Döbling;27,8365321843583;18,0885233059146;11,6934325629978;32,5342734038386;7,9253166209688;0,989685337511424;0,456978717848283;0,475257866562217;;
20. Brigittenau;41,6961854855236;30,0477180245323;13,3346994935449;5,7378728885506;4,50540121197927;1,40226587429374;2,38882871278433;0,887028308791244;;
21. Floridsdorf;38,3613323036802;37,1523338101809;7,29576787228925;6,48048511855781;3,63585724956008;0,85452773100733;0,607664164271879;5,6120317504526;;
22. Donaustadt;40,669917455461;36,7424121702733;8,53703880761917;6,91589380756605;4,66158863711211;1,00073302100265;0,536486385993987;0,935929714971707;;
23. Liesing;39,2338943702844;31,8176871735345;9,70146546720836;10,8495356935577;6,11034532791643;0,908662217063262;0,669254207777133;0,709155542658166;;
Quelle: Stadtwahlbehörde.;;;;;;;;;;
* In Wien angetretene sonstige Parteien: WWW (Wir wollen Wahlfreiheit), PdA (Partei der Arbeit), FREIE (Freidemokraten), M (Männerpartei - Für ein faires Miteinander), PH (Pro Hetzendorf), SLP (Sozialistische Linkspartei), WIFF (Wir für Floridsdorf), WIR (WIR im Ersten), ECHT (ECHT-Josefstadt - Liste Heribert Rahdjian), RKOB (RKO Befreiung - Gleiche Rechte für Muslime), WIR Hietzing.;;;;;;;;;;
