Nationalratswahl – Stimmenanteile der Parteien nach Gemeindebezirken 2017;;;;;;;;;
Gemeindebezirk;Nationalratswahl;;;;;;;;
;SPÖ;ÖVP;FPÖ;PILZ;NEOS;GRÜNE;KPÖ;GILT;sonstige Parteien *
;%;;;;;;;;
Wien;34,49;21,6;21,35;7,5;6,5;5,9;1,4;0,88;0,379999999999995
1. Innere Stadt;25,27;39,02;10,12;7,43;10,36;6,53;0,64;0,4;0,22999999999999
2. Leopoldstadt;38,36;17,39;16,75;8,75;6,51;8,98;2;0,8;0,459999999999994
3. Landstraße;34,23;22,81;15,23;9,22;7,98;7,64;1,75;0,77;0,370000000000005
4. Wieden;32,14;25,43;11,08;9,8;9,96;8,89;1,76;0,67;0,269999999999996
5. Margareten;38,31;17,82;14,27;9,5;7,47;9,08;2,27;0,91;0,370000000000005
6. Mariahilf;35,29;20,82;10,58;10,69;9,06;10,45;2,1;0,75;0,260000000000005
7. Neubau;35,22;19,73;8,97;11,93;9,13;12,1;2,11;0,76;5,00000000000114E-02
8. Josefstadt;30,99;25,75;9,09;10,88;9,88;10,32;2,13;0,63;0,330000000000013
9. Alsergrund;32,53;23,54;10,77;10,22;9,64;10,07;2,16;0,78;0,289999999999992
10. Favoriten;38,93;16,97;29,33;5,28;3,83;3,15;1,09;0,9;0,519999999999996
11. Simmering;37,66;16,09;32,94;4,97;3,61;2,49;0,91;0,85;0,480000000000018
12. Meidling;36,52;20,18;22,77;7,05;5,4;5,08;1,44;1,07;0,490000000000009
13. Hietzing;25,79;34,54;14,9;7,64;9,69;5,58;0,88;0,61;0,370000000000005
14. Penzing;32,53;23,79;20,07;8,02;7,01;6,11;1,18;0,91;0,379999999999995
15. Rudolfsheim-Fünfhaus;38,54;16,05;18,64;8,9;5,38;8,66;2,5;0,83;0,5
16. Ottakring;36,97;18,48;19,71;8,13;5,77;7,48;2,01;0,92;0,530000000000001
17. Hernals;32,73;23,08;16,54;8,64;7,78;8,31;1,82;0,76;0,340000000000003
18. Währing;27,73;28,82;11,53;8,9;10,66;9,63;1,57;0,83;0,330000000000013
19. Döbling;28,34;32,8;15,32;7,19;9,16;5,13;0,86;0,78;0,420000000000002
20. Brigittenau;40,1;16,44;22,47;7,22;4,59;5,94;1,59;1;0,649999999999991
21. Floridsdorf;34,33;19,59;30,73;5,82;4,07;3,13;0,88;1;0,450000000000017
22. Donaustadt;34,66;20,12;28,22;6,29;5,05;3,21;0,9;1,09;0,459999999999994
23. Liesing;32,55;24,22;24,39;6,57;6,37;3,81;0,82;0,88;0,390000000000015
Österreich;;;;;;;;;
Stimmenanteil;26,9;31,5;26;4,4;5,3;3,8;0,8;1;0,299999999999997
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;;;
* In Wien angetretene sonstige Parteien: Weisse (Die Weissen – Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.): 0,11%, FLÖ (Frei Liste Österreich & FPS Liste Dr. Karl Schnell): 0,10%, ODP (Obdachlose in der Politik): 0,09%, EUAUS (Für Österreich, Zuwanderungsstopp, Grenzschutz, Neutralität, EU-Austritt): 0,08%, SLP (Sozialistische LinksPartei): 0,06%.;;;;;;;;;
