Bevölkerung nach Staatsangehörigkeit der EU, Geschlecht und Gemeindebezirken 2023;;;;;;;; ;;
Gemeindebezirk;Bevölkerung zum Stichtag 1. 1.;;;;;;;;;
;Insgesamt;fremde Staatsangehörigkeit;;;;;;;;
;;insgesamt;;EU;;;nicht EU;;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;absolut;%;;Männer;Frauen;;Männer;Frauen;
Wien;1982097;678866;34,2498878712798;286461;143072;143389;392405;200903;191502;
1. Innere Stadt;16620;5206;31,323706377858;2169;1077;1092;3037;1236;1801;
2. Leopoldstadt;108269;40327;37,2470420896101;17497;8834;8663;22830;11384;11446;
3. Landstraße;96756;35237;36,4184133283724;17255;8556;8699;17982;8600;9382;
4. Wieden;33633;12055;35,8427734665358;5990;2951;3039;6065;2881;3184;
5. Margareten;55018;22883;41,5918426696717;10327;5186;5141;12556;6604;5952;
6. Mariahilf;31423;10554;33,5868631257359;5591;2698;2893;4963;2366;2597;
7. Neubau;31581;10218;32,3548969316994;5722;2816;2906;4496;2188;2308;
8. Josefstadt;24674;8167;33,0996190321796;4611;2318;2293;3556;1897;1659;
9. Alsergrund;42206;14956;35,4357200398048;8157;3897;4260;6799;3164;3635;
10. Favoriten;218415;92308;42,262665109997;31877;16436;15441;60431;32711;27720;
11. Simmering;109038;38141;34,9795484143143;14489;7224;7265;23652;12169;11483;
12. Meidling;100281;38906;38,7969804848376;15431;7814;7617;23475;12227;11248;
13. Hietzing;55568;13140;23,646703138497;6868;3248;3620;6272;2957;3315;
14. Penzing;96828;28491;29,4243400669228;12387;6157;6230;16104;8538;7566;
15. Rudolfsheim-Fünfhaus;76109;33885;44,5216728639189;14443;7722;6721;19442;10457;8985;
16. Ottakring;102444;40611;39,6421459529109;16562;8615;7947;24049;13090;10959;
17. Hernals;56033;20293;36,2161583352667;9214;4772;4442;11079;5883;5196;
18. Währing;51559;15422;29,9113636804438;7938;3773;4165;7484;3617;3867;
19. Döbling;75517;22235;29,4437014182237;9904;4700;5204;12331;5803;6528;
20. Brigittenau;85690;36374;42,4483603687712;12842;6474;6368;23532;12353;11179;
21. Floridsdorf;183895;54802;29,8007014872618;21077;10288;10789;33725;16886;16839;
22. Donaustadt;212658;55443;26,07143864797;22679;10807;11872;32764;15948;16816;
23. Liesing;117882;29212;24,7807129163061;13431;6709;6722;15781;7944;7837;
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
