Bevölkerung nach Altersgruppen und Gemeindebezirken 2023 – Männer;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;969125;60224;39971;97626;148466;234008;197095;129147;62588
1. Innere Stadt;7951;363;231;602;987;1481;1783;1508;996
2. Leopoldstadt;53180;3172;2178;5197;9049;13496;10522;6596;2970
3. Landstraße;46384;2592;1589;4005;7862;12057;9217;6152;2910
4. Wieden;16326;834;519;1351;2759;4099;3332;2314;1118
5. Margareten;27428;1357;772;2215;5153;7607;5418;3562;1344
6. Mariahilf;15148;658;392;1080;2738;4167;3067;2111;935
7. Neubau;15277;698;450;1033;2898;4141;3105;2045;907
8. Josefstadt;12092;504;365;931;2482;3067;2339;1600;804
9. Alsergrund;20056;1013;627;1560;4101;5306;3613;2586;1250
10. Favoriten;110463;7651;4759;11780;17636;27191;21687;13625;6134
11. Simmering;53865;3924;2611;6275;7729;12669;11168;6750;2739
12. Meidling;49586;3046;1927;4977;8024;12464;9969;6381;2798
13. Hietzing;25956;1532;1169;2544;2897;5481;5500;3956;2877
14. Penzing;47312;2840;1956;4854;6249;10921;9867;6861;3764
15. Rudolfsheim-Fünfhaus;38663;2031;1230;3300;7163;10504;7760;4911;1764
16. Ottakring;51319;2867;1824;4849;8376;12875;10581;7021;2926
17. Hernals;27490;1560;1064;2696;4197;6784;5708;3702;1779
18. Währing;23935;1420;979;2263;3534;5815;4912;3124;1888
19. Döbling;35301;2006;1501;3727;4718;7480;7296;5028;3545
20. Brigittenau;42729;2513;1658;4298;7432;10384;8606;5419;2419
21. Floridsdorf;89780;6707;4320;9910;12091;20434;18306;12214;5798
22. Donaustadt;102325;6977;5112;11992;13575;22904;21887;13729;6149
23. Liesing;56559;3959;2738;6187;6816;12681;11452;7952;4774
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
