Bevölkerung nach Altersgruppen und Gemeindebezirken 2023 – Insgesamt;;;;;;;; ;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;1982097;117077;77552;189170;295930;462267;400820;278443;160838
1. Innere Stadt;16620;668;470;1252;2108;3150;3609;3088;2275
2. Leopoldstadt;108269;6266;4168;10126;18083;26799;21117;13867;7843
3. Landstraße;96756;5183;3100;7822;16144;24348;19003;13549;7607
4. Wieden;33633;1618;1042;2670;5669;8116;6680;4986;2852
5. Margareten;55018;2648;1585;4338;10471;14403;10661;7418;3494
6. Mariahilf;31423;1291;778;2130;5987;8076;6187;4546;2428
7. Neubau;31581;1346;892;2075;6129;8192;6193;4467;2287
8. Josefstadt;24674;984;687;1832;5124;5818;4641;3544;2044
9. Alsergrund;42206;1894;1227;3127;8979;10535;7483;5712;3249
10. Favoriten;218415;14739;9238;22514;33145;50964;42978;29009;15828
11. Simmering;109038;7633;5090;12037;15215;25012;22609;14407;7035
12. Meidling;100281;5956;3699;9674;15611;23966;20054;13879;7442
13. Hietzing;55568;3098;2251;5050;5793;11364;11627;8798;7587
14. Penzing;96828;5467;3723;9015;12371;21752;20179;14986;9335
15. Rudolfsheim-Fünfhaus;76109;3861;2440;6361;13853;19596;15105;10107;4786
16. Ottakring;102444;5554;3567;9373;15973;24464;21152;14774;7587
17. Hernals;56033;3092;2073;5071;8422;13473;11386;7999;4517
18. Währing;51559;2851;1947;4580;7650;12125;10409;7057;4940
19. Döbling;75517;3941;2924;7259;9684;15578;15355;11305;9471
20. Brigittenau;85690;4824;3237;8240;14412;19925;17000;11715;6337
21. Floridsdorf;183895;12680;8239;19414;24082;41006;37635;26065;14774
22. Donaustadt;212658;13657;9886;23270;27404;47777;45852;29579;15233
23. Liesing;117882;7826;5289;11940;13621;25828;23905;17586;11887
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
