Produzierender Bereich (1) Wiens ohne Bauwesen nach Monaten 2021;;;;;;
Monat (2);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1,000 h;Mio, EUR;;
Jänner;3249;65469;10121,358;260,6;604,517;4203,099
Februar;3210;65508;9974,695;266,056;688,826;4493,859
März;3209;65530;10796,938;299,057;945,039;4549,441
April;3202;65579;10450,987;290,759;1001,995;4034,738
Mai;3184;65718;10170,148;362,064;798,436;4134,532
Juni;3181;65636;10497,302;407,774;835,864;4233,272
Juli;3195;66105;10618,604;273,1;945,997;4838,12
August;3194;66485;10726,503;275,934;931,367;4678,051
September;3203;66758;10775,22;274,736;979,05;5166,91
Oktober;3146;66927;10382,976;304,119;756,838;7487,676
November;3148;66962;10719,46;433,229;806,5;7472,473
Dezember;3548;66638;10809,775;306,117;996,924;8531,299
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit),;;;;;;
"(1) Bergbau u, Gewinnung von Steinen u, Erden_ Herstellung von Waren_ Energieversorgung_ Wasserversorgung, Abwasser- u, Abfallentsorgung u, Beseitigung von Umweltverschmutzungen,
(2) Monatsende, vorläufige Ergebnisse,";;;;;;
