Nominelle Bruttowertschöpfung in Wien zu Herstellungspreisen seit 2015;;;;;;
"Abschnitt
(ÖNACE 2008)";Berichtsjahr;;;;;
;2015;2016,0;2017,0;2018,0;2019;2020,0
;Mio, EUR;;;;;
Bruttowertschöpfung;77845;82004,0;82836,0;86844,0;89473;86648,0
Land- und Forstwirtschaft, Fischerei (A);25;34,0;34,0;36,0;40;43,0
Bergbau und Gewinnung von Steinen u, Erden (B);22;96,0;114,0;96,0;56;54,0
Herstellung von Waren  (C);5858;6767,0;6442,0;6279,0;5869;6020,0
Energieversorgung (D);1345;1628,0;1544,0;1461,0;1274;1403,0
"Wasserversorgung_ Abwasser- u, Abfallentsorgung u, 
Beseitigung v, Umweltverschmutzungen (E)";600;606,0;636,0;689,0;699;714,0
Bau (F);3372;3462,0;3624,0;3977,0;4057;4097,0
Handel_ Instandhaltung und Reparatur von KFZ (G);10185;10728,0;9923,0;11077,0;11310;10657,0
Verkehr und Lagerei (H);4406;4524,0;4505,0;4550,0;4680;4470,0
Beherbergung und Gastronomie (I);2681;2830,0;2964,0;3136,0;3415;1717,0
Information und Kommunikation (J);6543;7101,0;7324,0;8022,0;8531;8355,0
Erbringung von Fiz- und Versicherungsdienstl, (K);5149;4896,0;4987,0;5136,0;5274;5335,0
Grundstücks- und Wohnungswesen (L);7410;7700,0;8185,0;8477,0;8600;8895,0
Erbringung v, freiberuflichen, wissenschaftl,, techn, u, sonst, wirtschaftl, Dienstl, (M+N);11567;12121,0;12550,0;13229,0;14085;13411,0
Öffentliche Verwaltung, Verteidigung_ Sozialversicherung (O);4687;4860,0;4917,0;5101,0;5256;5498,0
Erziehung und Unterricht (P);5091;5326,0;5480,0;5675,0;5889;6000,0
Gesundheits- und Sozialwesen (Q);5569;5936,0;6122,0;6351,0;6698;6927,0
Kunst, Unterhaltung und Erholung, Erbringung von sonst, Dienstl,, private Haushalte (R,S,T);3335;3388,0;3486,0;3552,0;3739;3053,0
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010 (Revisionsstand September 2021),;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;
;;;;;;
