Bauwesen in Wien nach Monaten 2021;;;;;;
Monat (1);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1,000 h;Mio, EUR;;
Jänner;6534;51285;;155,664;;215,174
Februar;6432;52762;;156,911;;270,634
März;6438;55296;;177,416;;397,529
April;6399;56091;;178,524;;389,637
Mai;6344;56477;;186,272;;365,468
Juni;6368;56845;;260,428;;411,999
Juli;6333;56642;;196,25;;381,721
August;6304;56999;;192,208;;372,488
September;6377;57862;;190,572;;401,732
Oktober;6303;57602;;197,187;;394,315
November;6295;57600;;312,389;;440,702
Dezember;7160;50641;;198,425;;397,765
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit),;;;;;;
(1) Monatsende, vorläufige Ergebnisse,;;;;;;
;;;;;;
