Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien 2020;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;"Beschäftigte im
Jahresdurchschnitt";"Bruttlöhne
und -gehälter";"Bruttoinvestitionen
in Sachanlagen"
;;;1,000 EUR;
Insgesamt;3635;55607;2955969;436802
Nahrungs- und Futtermittel;575;7703;246668;45476
Getränkeherstellung;48;686;38058;20776
Textilien;58;337;8595;586
Bekleidung;240;495;5996;432
Leder/-waren und Schuhe;43;162;3002;708
Holzwaren_ Korbwaren;131;641;16917;979
Papier/Pappe und Waren daraus;33;1540;94180;17481
Druckerzeugnisse;206;1608;77174;6575
Kokerei und Mineralölverarbeitung;22;;;
Chemische Erzeugnisse;102;1802;124821;19706
Pharmazeutische Erzeugnisse;76;6525;455879;165066
Gummi- und Kunststoffwaren;79;1303;57880;14461
Glas(-waren), Keramik u, Ä,;166;956;39911;4265
Metallerzeugung und -bearbeitung;14;;;
Metallerzeugnisse;373;3378;128849;18014
Datenverarbeitungsgeräte;134;2130;124761;9042
Elektrische Ausrüstungen;110;5393;377243;26241
Maschinenbau;133;3500;204164;18633
Kraftwagen und -teile;21;2942;151957;26787
Sonstiger Fahrzeugbau;27;3428;233296;14235
Möbel;200;812;21231;3904
Sonstige Waren;546;3451;131178;11824
Reparatur/Installation von Maschinen;298;6815;414209;11611
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2020,;;;;
;;;;
;;;;
