Wahlen zum Europäischen Parlament – Stimmenanteile der Parteien nach Gemeindebezirken 2024;;;;;;;
Gemeindebezirk;Europawahl;;;;;;
;SPÖ;FPÖ;GRÜNE;ÖVP;NEOS;KPÖ;DNA (1)
;%;;;;;;
Wien;29,67192816444865;18,086398625567927;18,037407638567316;14,181884072560349;13,477051413691973;4,67377371532881;1,8715563698349744
1. Innere Stadt;19,963472885642034;13,234054509693735;15,369485810620962;26,383815678561394;20,946895195279573;2,2337735318909804;1,8685023883113234
2. Leopoldstadt;30,99125451452109;12,715279228725787;25,287287705578603;10,273706832223981;13,398800107453063;5,718890845595917;1,614780765901561
3. Landstraße;28,779123378619293;12,60834818958628;21,688080162291755;13,88701051207967;16,527325259728283;4,8042048318682;1,70590766582652
4. Wieden;26,468467024601328;10,449555252824744;23,27109544033977;15,754467505409087;18,070358201778987;4,415417902075487;1,5706386729705906
5. Margareten;29,505048627888247;11,559189741683703;26,209502570773708;10,456544632348386;13,78925850213715;6,882239980177167;1,598215944991637
6. Mariahilf;27,99462771761941;9,712079241165114;26,945353815159912;12,440191387559809;15,747502728112147;5,598925543523881;1,561319566859733
7. Neubau;26,258205689277897;7,651097864634422;30,7100279182072;10,759827963479966;17,226288387534897;5,908096280087528;1,4864558967780879
8. Josefstadt;25,12264150943396;8,877358490566039;25,481132075471695;15,433962264150944;18,72641509433962;4,773584905660377;1,5849056603773584
9. Alsergrund;25,74812967581047;9,420199501246882;25,723192019950126;14,139650872817954;18,14214463840399;5,199501246882793;1,6271820448877805
10. Favoriten;33,673654596605864;25,878028859243123;11,452944913331518;12,91859515382521;9,435974226336329;4,803067428986296;1,837734821671658
11. Simmering;34,10631613756614;30,472883597883598;9,036044973544973;11,569940476190476;8,341600529100528;4,439484126984127;2,0337301587301586
12. Meidling;32,600718147022846;18,2614528666693;17,08163990056426;12,72540741033027;11,967801759854792;5,496586828710098;1,8663930868484395
13. Hietzing;22,003904260736718;14,35664573077576;16,661008317772875;23,395858088609746;18,43914445764726;2,805126464097776;2,338312680359871
14. Penzing;29,256970521273768;16,519322314538304;19,171520652848823;15,073475059874042;13,636498033766003;4,343455249696934;1,998758168002129
15. Rudolfsheim-Fünfhaus;32,03796937277114;13,871407593874554;25,513950073421437;9,167191105517098;10,39962240402769;7,4627648416194665;1,5470946087686175
16. Ottakring;31,25587876676537;15,321372583173662;22,501306392614527;11,70179411252395;11,45096673053475;6,218428845148929;1,5502525692388085
17. Hernals;26,766990818710273;13,114575976530668;23,95284402672896;14,418427772043243;14,298908024121257;5,650024447221166;1,798228934644429
18. Währing;22,612851329611054;10,14479038516135;25,144317213968016;17,63035866376455;18,60035961010694;4,059808838837892;1,8075139585502036
19. Döbling;22,97929665343165;14,634146341463413;15,811117413499717;22,724049914917753;18,774815655133295;3,1728587634713556;1,9037152580828134
20. Brigittenau;34,36223331820245;18,015836989963184;19,02960609270187;10,692490038835931;9,78463711101024;6,360014122156656;1,7551823271296716
21. Floridsdorf;32,450357505626485;27,505028978868328;10,58575155848553;13,419904797944593;10,051982712262742;3,8638491107172017;2,1231253360951223
22. Donaustadt;32,19224872102379;25,201524144945576;11,939641431238899;12,962822400680096;11,680051007241206;3,901446723240174;2,1222655716302583
23. Liesing;29,97651057024339;21,52781248438203;13,021640261882153;16,495077215253136;13,63886251186966;3,2010595232145533;2,13903743315508
Österreich;;;;;;;
Stimmenanteile;23,2;25,4;11,1;24,5;10,1;3;2,7
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;
(1) DNA = Demokratisch – neutral – authentisch.;;;;;;;
