Bezirksvertretungswahlen – Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2020;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung
;insgesamt;Geschlecht;;insgesamt;darunter…;
;;Männer;Frauen;;gültig;%
Wien;1362789;650658;712131;786777;769732;57,732855196218935
1. Innere Stadt;12677;6200;6477;8277;8164;65,2914727459178
2. Leopoldstadt;73764;35931;37833;43081;42238;58,40382842579036
3. Landstraße;68561;32622;35939;40900;40105;59,654905850264726
4. Wieden;25133;12111;13022;15598;15308;62,06183105876736
5. Margareten;39319;19122;20197;22049;21591;56,07721457819375
6. Mariahilf;24831;12011;12820;15402;15155;62,027304578953725
7. Neubau;25280;12080;13200;16652;16400;65,87025316455696
8. Josefstadt;18892;8992;9900;12813;12642;67,82235867033664
9. Alsergrund;32343;15215;17128;20524;20224;63,45731688464274
10. Favoriten;133427;65002;68425;67393;65620;50,509267239764064
11. Simmering;70229;33845;36384;37552;36776;53,47078842073787
12. Meidling;66672;32227;34445;34868;34016;52,29781617470602
13. Hietzing;42342;19431;22911;28211;27774;66,62651740588541
14. Penzing;69361;32849;36512;41830;40918;60,307665691094414
15. Rudolfsheim-Fünfhaus;51318;25417;25901;25631;25155;49,945438247788296
16. Ottakring;70315;33922;36393;38837;37957;55,23288060868947
17. Hernals;40213;19130;21083;23381;22872;58,14288911546017
18. Währing;38843;17772;21071;25741;25373;66,26934067914425
19. Döbling;55408;25407;30001;35032;34344;63,225526999711235
20. Brigittenau;55872;27061;28811;28924;28039;51,76832760595648
21. Floridsdorf;121675;57871;63804;67955;65980;55,84959934251079
22. Donaustadt;143548;67790;75758;85220;83268;59,36690166355505
23. Liesing;82766;38650;44116;50906;49813;61,50593238769543
Quelle: Stadtwahlbehörde.;;;;;;
