Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2022 – Frauen;;;;;;
Gemeindebezirk;"Durchschnittlicher Jahresbezug
pro Arbeitnehmerin";;"Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmerin";"Durchschnittlicher Jahresbezug
pro Pensionistin";;"Index des
durchschnittlichen
Nettobezuges
pro Pensionistin"
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;32915,15590385123;23396,30511213826;100;26903,55168203352;22280,19106115504;100
1. Innere Stadt;44996,92919631513;30394,34337992376;129,91086940542095;34787,05752966102;27545,15178813559;123,63068033182121
2. Leopoldstadt;33608,55120537639;23678,38621301775;101,20566516604856;24929,72770557842;20867,0308801121;93,65732467390393
3. Landstraße;36158,93747938166;25211,2936810477;107,75758633771537;27624,62419955939;22731,89233431246;102,02736714383454
4. Wieden;37029,86576796141;25553,99680629601;109,22236089765438;30195,72304235537;24452,71436208678;109,75091862977548
5. Margareten;31291,29460407984;22255,17543540251;95,1226073037331;24950,06164324324;20878,32636216217;93,70802209395328
6. Mariahilf;35751,221346949;24769,688082947;105,87008488830236;28232,95695132365;23119,40500711642;103,76663711571364
7. Neubau;38044,84564029121;26187,69860007161;111,93091590554248;29076,68043736983;23707,6116155906;106,40668004380012
8. Josefstadt;38771,6247605178;26443,39840453075;113,02382268391442;32297,97563907044;25877,14179012346;116,14416464874762
9. Alsergrund;36370,28829409152;25094,39650733008;107,2579468726061;30437,98666007036;24549,12679639402;110,18364577310476
10. Favoriten;27998,82959094791;20490,36234628523;87,57947995666463;24346,11356255213;20536,52702543787;92,17392691592666
11. Simmering;28951,99824452656;21183,66533079032;90,54278113256441;23791,21238769869;20202,98939616448;90,67691269213526
12. Meidling;29661,85315355578;21444,34804095978;91,65698574273686;25392,12105209223;21239,43313748932;95,32877469134338
13. Hietzing;40765,49954249457;28042,39918266822;119,85823850501727;32264,0342053734;25788,14798041894;115,74473445777551
14. Penzing;35023,77014617674;24768,45431554627;105,8648115453757;28400,65298119341;23285,05269096819;104,51011226544237
15. Rudolfsheim-Fünfhaus;28489,46433664235;20679,17791586684;88,38651153142236;23217,27426964856;19766,54580063897;88,71802645849591
16. Ottakring;30597,74074571309;21988,48594228356;93,98272862699031;25811,86177246218;21545,31400473333;96,70165729546659
17. Hernals;32046,07814831327;22820,28609674543;97,5379915220289;27766,80941489361;22846,04043920973;102,53969715296219
18. Währing;38079,49271481163;26291,99338215712;112,37669049082687;31403,6198621353;25278,18841295287;113,45588708628608
19. Döbling;38051,81713279741;26309,24732722627;112,45043694346737;31318,28269241107;25221,32422005197;113,20066399262043
20. Brigittenau;28477,13567201313;20669,98117569213;88,34720301612205;23980,83295525821;20292,26106836713;91,07759001109368
21. Floridsdorf;31554,45338076009;22749,16567695962;97,23401010511314;26047,66312045977;21793,00484965517;97,81336609653556
22. Donaustadt;34204,49729569408;24400,26316215853;104,29109658644093;26156,10354143504;21866,91871889164;98,14511311357678
23. Liesing;34815,24322519363;24756,74633567149;105,81476954165477;28323,0128836045;23333,19443804755;104,72618647659802
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
