Rechnungsabschluss der Stadt Wien nach Ausgabenarten seit 2000;;;;;;;;;;;;;;;;;;;;;;
Ausgabenart;;;Berichtsjahr;;;;;;;;;;;;;;;;;;;
;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
;in 1.000 ATS;;Mio. EUR;;;;;;;;;;;;;;;;;;;
Insgesamt;91422399;146449190;10088,06944569;10055,6675;9492,48031753;9818,4;9545;9699,82803339;10150,06782297;10523,66579739;11079,73063682;11315,8455083;11882,59894896;12083,8930852;12325,02083006;12471,10257674;12344,0111871;13080,48089543;13381,5236682;14693,3424095;13996,35109727;14212,72526524
Leistungen fÃƒÂ¼r das Personal;20540856;31253105;3099,967;3149,5667;2105,09825141;2135,2;2109;2158,66958313;2216,99039225;2260,20923203;2355,96339087;2421,8137325;2455,56054168;2479,29262223;2539,91653418;2591,38770119;2638,57030841;2708,25539699;2794,20699932;2800,709809;2860,19322492;2958,90344929
Pensionen und sonstige RuhebezÃƒÂ¼ge;6258726;8103569;889,54;913,7685;950,63730186;989,6;1017;1033,19464434;1058,08331463;1097,44920498;1135,15191399;1181,69090348;1229,618237;1238,40737764;1268,7293414;1297,48411577;1340,98935854;1362,23671053;1399,81796085;1440,861314;1475,05896693;1527,78440574
Ge- und VerbrauchsgÃƒÂ¼ter, Verwaltungs- 
und Betriebsaufwand;;;2102,293729;2133,6276;1370,94553887;1360;1163,8;1094,25880638;1166,4731045;1233,49419778;1297,32237011;1209,66620045;1297,19743614;1285,48162851;1313,87913482;1336,46096347;1370,32566346;1486,9174485;1496,15638244;1513,47315545;1553,40632034;1681,37567061
Laufende Transferzahlungen;;;1594,10563141;1626,6775;2977,15949914;3012,2;3334,6;3435,56279077;3576,82688048;3709,47921487;4115,63389274;4188,33094456;4339,30093069;4537,7630796;4615,24825062;4841,07150981;4410,67146316;4614,26802737;4906,49616439;4933,60501535;5093,38174874;5298,14630058
Schuldendienst;;;496,278048;502,827;437,48285766;769,4;392;326,44877875;480,20626946;384,1041354;378,1589364;306,30610189;428,59375857;417,78974491;488,90745532;308,25391826;788,82821537;861,5882513;966,96871958;1967,01924168;1116,57461882;645,59512355
Investitionen, Darlehen zur Investitions-
fÃƒÂ¶rderung, Kapitaltransfers und Beteiligungen;;;1583,35519606;1298,0978;1351,075652;1337,3;1359,8;1524,00530223;1482,22724795;1678,84013939;1647,7791857;1809,87620871;1987,78257823;1662,72540071;1664,36929521;1787,3164413;1615,70764938;1709,41320837;1589,4638305;1675,98927554;1517,69840164;1310,07854056
Sonstige Ausgaben;64622817;107092516;322,52744;431,1024;300,08121659;214,7;168,9;127,68812779;169,2606137;160,08967294;149,72094701;198,16141671;144,54546665;462,4332316;433,97081851;309,12792694;178,91852878;337,80185237;228,41361112;361,68459853;380,03781588;790,84177491
Quelle: Rechnungsabschluss der Stadt Wien (ab 2000), 1990 und 1995 Jahrbuch Stadt Wien.;;;;;;;;;;;;;;;;;;;;;;
Die "Sonstige Ausgaben" enthalten im Wesentlichen RÃƒÂ¼cklagenzufÃƒÂ¼hrungen im Rahmen der Bezirksbudgets und der Parkometerabgabe.;;;;;;;;;;;;;;;;;;;;;;
