Finanzgebarung der Stadt Wien nach Bereichen seit 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bereich;;;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1990;;1995;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben;Einnahmen;Ausgaben
;in 1.000 ATS;;;;in Mio. EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Insgesamt;91422399;91422399;146449190;146449190;10088,06944568;10088,06944571;10025,82869728;10055,66755488;9492,48031751;9492,48031753;9818,37960911;9818,36960911;9545,03437382;9545,03419046;9699,82803339;9699,82803339;10150,06782297;10150,06782297;10523,66579739;10523,66579739;11079,73063682;11079,73063682;11315,8455083;11315,8455083;11882,59894896;11882,59894896;12083,8930852;12083,8930852;12325,02083006;12325,02083006;12471,10257557;12471,10257483;12344,0111871;12344,0111871;13080,48089543;13080,48089543;13381,5236682;13381,5236682;14693,3424095;14693,3424095;13996,35109727;13996,35109727;14212,72526524;14212,72526524
VertretungskÃƒÂ¶rper und allgemeine Verwaltung;2173908;6898121;3429171;10193385;1046,37634415;1704,60354553;1062,98912487;1693,732151;1318,70917065;1897,95013603;1297,54555444;1910,18295793;1178,13350978;1914,20207218;1238,12907866;1975,0766675;1288,66309106;2006,80722225;1289,57861594;2039,94792188;1340,11630525;2139,11238273;1377,44102989;2239,91292878;1398,85342016;2238,26461918;1388,62708953;2197,37737907;1401,80638353;2258,12512389;1437,51964357;2337,41969886;1463,5393084;2378,95209273;1513,2715737;2406,40724253;1490,75193989;2435,65334387;1490,46511043;2371,90915009;1442,37940734;2360,3485047;1590,3820844;2547,9828232
Ãƒâ€“ffentliche Ordnung und Sicherheit;48901;1137680;64606;1736305;4,50234247;123,28999729;4,14466715;126,86271651;5,70193317;111,88222361;7,13195873;114,6812795;7,64180955;119,5252295;8,10103004;122,8673476;8,77830199;121,21562123;8,40000846;128,18775592;8,68563432;138,57658288;9,79089696;148,36168996;10,31124693;153,19331231;10,54645684;156,32898105;10,96033321;164,56656218;11,90528464;163,2673134;12,08271247;173,07753209;11,63973775;183,51115748;14,12270903;181,80066411;12,50891746;186,70722673;10,80106049;206,02128803;11,49542575;186,5301115
Unterricht, Erziehung, Sport und Wissenschaft;5087169;8561250;7449165;13652813;695,34778663;1249,25257105;748,33753787;1253,20698185;658,94751602;1238,95720489;682,72669479;1233,55483248;679,46604954;1216,71300751;694,09480866;1252,46412721;731,95909945;1316,32024415;741,35273054;1366,95592397;778,58665254;1485,00389514;822,37913469;1624,40155632;829,79915492;1774,96880971;846,93055334;1831,89484945;885,9781428;1861,06190075;934,36927912;2006,14498346;982,63923141;2121,4398057;993,89519775;2269,77217714;1042,98974616;2322,59789054;1096,62203705;2437,07611385;1135,47457304;2475,78513791;1171,42621869;2608,69031907
Kunst, Kultur und Kultus;73102;1700455;85483;2174579;13,97611303;215,82675541;-;210,00046539;5,32445748;207,2958954;6,43759971;213,63810645;17,722473;226,6113892;18,63616494;238,44124768;22,99312833;254,11376821;21,28232701;263,11615171;19,29182512;272,74412322;18,96719752;280,87854257;18,74273514;288,36072424;19,28162265;275,83447256;17,95390674;282,81560708;15,67351933;280,58518897;15,50687977;292,99754067;16,02374285;298,21657023;15,68128362;292,59904544;16,81049706;317,45597307;21,77348731;306,15155277;19,81791902;334,27069432
Soziale Wohlfahrt und WohnbaufÃƒÂ¶rderung;3170528;13293142;9723869;23550698;698,02832989;1912,57268168;254,43200308;1325,33769186;328,75516447;1506,24148804;381,92016876;1478,36899388;391,94980935;1250,70786334;277,18094219;1522,32493659;273,53268392;1514,01541994;267,0474973;1620,96741925;267,767383;1765,88146981;249,70861991;1896,38224597;483,32818586;2157,03669458;611,74505253;2298,57470764;553,66811087;2166,61579589;468,00244219;2260,83597835;490,262634;2405,71851636;446,66972893;2444,26893612;405,64111197;2665,43415694;373,40951933;2747,74502238;373,45196722;2831,98084161;385,02714908;2855,50581464
Gesundheit;10670048;18316833;16438830;27240055;1178,63083867;2335,36572512;20,37390463;508,05778608;35,65470183;1048,77440172;47,70756098;1034,85631033;56,6581253;1425,720805;26,32089254;1085,12998584;35,36919293;1155,89163577;38,76444751;1180,11759173;28,89372183;1215,95568582;25,89684445;1209,9086378;35,90144814;1132,59381363;24,48990342;1449,38820148;25,95088046;1442,8990783;23,93130528;1546,76124955;36,16895349;2156,72676763;27,26081718;2297,74847838;29,11930866;2337,64486768;25,00217065;2444,50925618;26,96405393;2361,08433948;30,65155903;2529,07234567
