Personalaufwand der Stadt Wien nach RechtstrÃƒÂ¤ger 2019;;;;;;;
Ansatz;Insgesamt;Personalaufwand;;;;;
;;Pensionen;AktivbezÃƒÂ¼ge;;;;
;;;insgesamt;BezÃƒÂ¼ge;Aufwands-
entschÃƒÂ¤digungen;NebengebÃƒÂ¼hren;Dienstgeber-
InnenbeitrÃƒÂ¤ge
;;;;;;;
;Mio. EUR;;;;;;
Insgesamt;4486,68785503;1527,78440574;2958,90344929;2040,98560385;17,10970324;421,49567127;479,31247093
Magistrat;2612,97898757;896,3883685;1716,59061907;1166,85639303;9,20181251;279,31361403;261,2187995
Wiener Stadtwerke;775,85596746;363,3530335;412,50293396;239,4926718;3,64974345;107,92884383;61,43167488
LandeslehrerInnen;1069,34244611;263,09736323;806,24508288;616,88195528;4,07458404;31,92957883;153,35896473
Sonstige;28,51045389;4,94564051;23,56481338;17,75458374;0,18356324;2,32363458;3,30303182
Quelle: Rechnugnsabschluss der Stadt Wien.;;;;;;;
