Rechnungsabschluss der Stadt Wien nach Einnahmenarten seit 2000;;;;;;;;;;;;;;;;;;;;;;
Einnahmenart;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;
;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
;in 1.000 ATS;;Mio. EUR;;;;;;;;;;;;;;;;;;;
Insgesamt;91422399;146449190;10088,06944569;10055,66749189;9492,48031753;9818,37960911;9545,03437382;9699,82803339;10150,06782297;10523,66576739;11079,73063682;11315,8455083;11882,59894896;12083,8930852;12325,02083006;12471,10257557;12344,0111871;13080,48089543;13381,5236682;14693,34;13996,35109727;14212,72526524
Eigene Steuern (und Abgaben);14505732;19053534;970,17324607;889,15656513;881,56732597;895,44817158;908,32145555;937,43426507;968,80171522;1027,34574318;1100,55540798;1114,37449031;1136,41928106;1175,91867011;1262,28966641;1303,48479194;1340,988804;1315,07674802;1337,05295663;1409,0298108;1714,43033734;1797,64917273
Ertragsanteile an den gemeinschaftlichen Bundesabgaben
(einschlieÃƒÅ¸lich Anteil an der Spielbankabgabe);25614395;30836288;2935,98025138;3041,37916472;3081,36281238;3011,421719;3048,637357;3122,467771;3259,460614;3497,377853;3945,012432;4544,942954;4510,677944;4929,915834;5120,752142;5371,212946;5557,349318;5869,537234;5923,998824;6022,775366;6127,613778;6479,046688
GebÃƒÂ¼hren;;;463,82604612;464,61235887;447,95579006;470,73977612;475,73024143;464,0309023;526,2125934;546,63097692;548,36228535;369,99163684;370,81421897;375,74271418;432,15830859;443,53028645;463,93531896;464,93990435;479,92449737;490,17592915;503,03432863;522,18391376
Einnahmen aus Leistungen;10665975;16090764;1589,86315559;1568,14220324;612,49681637;628,52289004;653,49516998;549,88241072;536,9820695;543,86641133;524,87595714;588,66237849;624,75481219;593,17388445;644,4219291;661,84169759;693,61707771;716,39932127;746,04267106;774,73430896;784,82488554;1090,65882015
KostenersÃƒÂ¤tze der Wiener Stadtwerke;;;784,34413566;753,80518328;710,67552387;707,97908655;692,47363849;694,16276871;696,87836848;700,13406141;720,9300773;725,40778293;699,84578235;687,01705061;695,48571807;692,36397752;678,35223571;673,86027011;684,53272741;656,72279112;639,29971002;624,29538813
BeitrÃƒÂ¤ge des Bundes fÃƒÂ¼r LehrerInnenpersonalaufwand;4355691;6207447;530,02392371;542,24671333;515,78924938;540,5281672;541,68674606;554,52129298;584,75482168;595,35777604;630,58772788;675,49315604;685,57208992;700,79309666;730,06757163;772,32899386;805,7262678;832,44001418;880,1794907;927,80316726;956,71066046;991,99753336
Sonstige laufende Transferzahlungen von TrÃƒÂ¤gern des ÃƒÂ¶ffentlichen Rechts;;;1155,940988;1163,19183316;1547,99015808;1483,96932228;1495,47564346;1529,14760818;1596,13299845;1627,23024184;1644,68106974;892,23879093;756,13018894;757,17412687;851,68373579;825,15860056;245,09684038;260,8035814;298,68026881;370,70082523;434,56505156;369,43988947
Kapitaltransferzahlungen von TrÃƒÂ¤gern des ÃƒÂ¶ffentlichen Rechts;;;133,95264903;117,17335208;144,69914631;175,19556772;208,04348726;233,05249378;208,57159809;231,14345667;153,99413508;133,02573753;164,94266231;124,71169271;131,78015148;133,49027391;126,55469029;161,74594978;162,35288989;125,97103947;137,74480327;80,27135211
Fremdmittelaufnahmen;;;30,28728182;27,07818122;366,47262806;446,91747351;354,84473519;274,04219336;398,13618647;292,77338161;343,32215446;775,05883936;1357,06156058;1283,81527943;710,40887984;541,33493575;922,31071418;1128,14081279;1428,03979983;2379,82854701;1342,59481744;571
Innere Darlehen;;;;;-;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;21,07294561;22,93476757;26,01127768;29,40653736;46,28228178;26,63729921;30,42714487;30,06125337;33,04261006;27,11879796;25,51784854;27,72358091
Sonstige Einnahmen;36280606;74261157;1493,67776831;1488,88193686;1183,47086705;1457,65743511;1166,3258994;1341,08632729;1374,13685768;1461,80586539;1446,33644428;1473,7149743;1550,36913096;1426,22419882;1699,69044537;1699,71877278;1479,65277519;1627,47580616;1407,67693244;1508,48182654;1330,01487647;1658,45892662
Quelle: Rechnungsabschluss der Stadt Wien (ab 2000), 1990 und 1995 Jahrbuch der Stadt Wien.;;;;;;;;;;;;;;;;;;;;;;
2008 wurde der Finanzausgleich neu geregelt. Aus diesem Grund erklÃƒÂ¤rt sich die hohe Steigerung bei den Ertragsanteilen bei gleichzeitigem RÃƒÂ¼ckgang der sonstigen
laufenden Transferzahlungen. 
Unter "Sonstige Einnahmen" sind unter anderem PensionsbeitrÃƒÂ¤ge der pragmatisierten Bediensteten aber auch Einnahmen durch Grundverkauf und -tausch bzw. Einnahmen aus Verzinsung von Darlehen und Wertpapieren zusammengefasst.;;;;;;;;;;;;;;;;;;;;;;
