Bewohnte Wohnungen nach Gemeindebezirken 2020;;;;;;;;;;
Gemeindebezirk;Insgesamt;Bewohnte Wohnungen zum Stichtag 1.1. Ã¢â‚¬â€œ davon mit Ã¢â‚¬Â¦ Personen;;;;;;;BevÃƒÂ¶lkerung;
;;1;2;3;4;5;6 und mehr;;insgesamt;je Wohnung
;;;;;;;Nw (1);Np (2);abs.;
Wien;941017;426501;264799;117686;81084;31679;19268;137840;1911191;2,0309845624468
1. Innere Stadt;8834;4528;2408;1012;532;223;131;934;16047;1,81650441476115
2. Leopoldstadt;53052;25045;14367;6464;4264;1736;1176;8445;105848;1,99517454572872
3. LandstraÃƒÅ¸e;47671;23188;13276;5717;3544;1224;722;5941;91680;1,92318180864677
4. Wieden;17221;8320;4799;2099;1303;461;239;1653;33212;1,92857557633122
5. Margareten;29394;14661;8140;3329;1993;796;475;3237;55123;1,8753146900728
6. Mariahilf;16994;8666;4759;1926;1042;376;225;1727;31651;1,86248087560315
7. Neubau;17748;9047;4995;2060;1101;342;203;1349;31961;1,80082262790174
8. Josefstadt;13217;6799;3627;1531;894;246;120;1884;25021;1,89309222970417
9. Alsergrund;23127;11881;6557;2530;1440;470;249;1968;41884;1,81104336922212
10. Favoriten;96787;41532;26752;12456;9196;4259;2592;17869;207193;2,14071104590493
11. Simmering;48143;19828;13593;6509;4955;2067;1191;8325;104434;2,16924578858816
12. Meidling;47961;22145;13300;5781;3904;1708;1123;7657;97078;2,02410291695336
13. Hietzing;27160;12691;7530;3364;2323;821;431;3201;54040;1,98969072164948
14. Penzing;46852;21468;13427;5771;3943;1400;843;6025;93634;1,99850593357808
15. Rudolfsheim-FÃƒÂ¼nfhaus;39167;18930;10549;4624;2928;1317;819;5918;76813;1,96116628794649
16. Ottakring;51784;24381;14317;6186;4159;1666;1075;7681;103117;1,99129074617643
17. Hernals;28459;13102;7903;3589;2407;904;554;3991;57027;2,00383007133069
18. WÃƒÂ¤hring;26670;12973;7103;3260;2223;714;397;2875;51497;1,93089613798275
19. DÃƒÂ¶bling;37633;18159;10283;4318;3068;1095;710;5495;73901;1,9637286424149
20. Brigittenau;43325;20631;11679;5013;3452;1591;959;6473;86368;1,9934910559723
21. Floridsdorf;79435;33636;23192;10335;7387;2922;1963;13446;167968;2,11453389563794
22. Donaustadt;88681;33855;26532;12946;9860;3487;2001;13840;195230;2,20148622591085
23. Liesing;51702;21035;15711;6866;5166;1854;1070;7906;110464;2,1365517774941
Quelle: Wiener BevÃƒÂ¶lkerungsregister bis auf BevÃƒÂ¶lkerung insgesamt: Statistik Austria (bei Vergleichen in den Jahrbuchausgaben der Jahre vor 2019, Wiener BevÃƒÂ¶lkerungsregister);;;;;;;;;;
(1) Nw = Anzahl der Wohnungen mit 6 und mehr gemeldeten Personen.
(2) Np = Gesamtzahl der Personen in Wohnungen mit 6 und mehr gemeldeten Personen.;;;;;;;;;;
