Spielplätze nach Typen, Spielflächen und Gemeindebezirken 2024 (1);;;;;;;;;;
Gemeindebezirk;Standorte (2);Spielplätze;;;Spielplätze nach Typen;;;;;
;;insgesamt;Fläche;Anteil an der Bezirksfläche;Kleinkinderspielplätze;;Ballspielplätze;;Sonstige Spielplätze (3);
;;;m²;%;abs.;m²;abs.;m²;abs.;m²
Wien;599;1760;966897,6899999997;–;314;132625,59;676;224584,89000000004;770;609687,2099999998
1. Innere Stadt;5;12;3935,01;0,14;2;1354,4199999999998;6;654,6600000000001;4;1925,93
2. Leopoldstadt;40;132;161713,09999999992;0,84;24;7077,540000000001;46;12729,42;62;141906,13999999993
3. Landstraße;20;63;24554,289999999994;0,33;10;3739,87;25;5895,839999999999;28;14918,579999999998
4. Wieden;12;32;8676,94;0,49;7;1743,36;9;2062,91;16;4870,67
5. Margareten;15;57;13272,49;0,66;11;2830,7699999999995;25;4789,86;21;5651,86
6. Mariahilf;10;37;10249,310000000001;0,7;7;2647,36;12;2017,9799999999998;18;5583,97
7. Neubau;12;40;8976,25;0,56;7;2523,6;16;2671,76;17;3780,889999999999
8. Josefstadt;5;18;5766,97;0,53;6;2158,07;9;1980,01;3;1628,8899999999999
9. Alsergrund;16;41;18431,02;0,62;11;5241,170000000001;14;3222,14;16;9967,709999999997
10. Favoriten;59;192;107669,04000000001;0,34;27;10907,21;85;29156,36;80;67605,46999999999
11. Simmering;33;103;43484,01;0,19;22;15225;43;13180,81;38;15078,2
12. Meidling;31;86;35871,9;0,44;6;2037,74;31;9497,55;49;24336,609999999997
13. Hietzing;22;44;38207,06;0,1;13;6049,0599999999995;14;6840;17;25318
14. Penzing;23;69;33931,79999999999;0,1;14;5663,12;26;10870,320000000002;29;17398,36
15. Rudolfsheim-Fünfhaus;32;82;30617,62;0,78;13;6217,210000000001;31;6501,070000000001;38;17899,340000000004
16. Ottakring;27;74;20755,01000000001;0,24;17;5307,0599999999995;27;6376,53;30;9071,419999999998
17. Hernals;15;42;11859,300000000001;0,1;15;5325,070000000001;15;3671,3;12;2862,93
18. Währing;16;54;20799,520000000004;0,33;13;4457,52;22;5560,42;19;10781,580000000002
19. Döbling;27;68;38853,21000000001;0,16;17;10369,06;22;5017,4;29;23466,749999999996
20. Brigittenau;20;59;33838,56999999999;0,59;11;4145,29;24;8426,430000000002;24;21266,85
21. Floridsdorf;55;148;98144,19000000006;0,22;16;5502,03;54;30050,12999999999;78;62592,03
22. Donaustadt;73;208;145896,16999999998;0,14;24;11668,240000000002;86;37590,81999999999;98;96637,10999999997
23. Liesing;31;99;51394,91;0,16;21;10435,82;34;15821,17;44;25137,92
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;;;;
"(1) Zum Stichtag: 12. 6. 2024 (nur von der Stadt Wien Wiener Stadtgärten betreute Spielplätze).
(2) Die Zahl der Standorte der Spielplätze ist geringer als die Zahl der Spielplätze insgesamt, weil es an einem Standort auch mehrere Spielplatztypen geben kann. Prater als ein Standort. 
(3) Sonstige Spielplätze = Skaterparks, Kinderspielplätze, Themenspielplätze, Generationenspielplätze und reine Wasserspielplätze. Inklusive 8 reiner Wasserspielplätze mit einer Fläche von 9.025,02 m².";;;;;;;;;;
