Hunde, Hundezonen und Hundekotsackerlspender nach Gemeindebezirken 2024;;;;;;;
Gemeindebezirk;Hunde (1);Hundezonen und Hundeausläufe (2);;;;"Hundekotsackerl-
spender";
;;Zahl;Fläche;Anteil an der Bezirksfläche;"Auslauffläche
pro Hund (3)";Zahl;Dichte (4)
;;;m²;%;m²;;m²
Wien;58841;189;1128911,34;–;19,2;3130;–
1. Innere Stadt;531;2;3954,4;0,1378428978029465;7,4;49;58546
2. Leopoldstadt;2760;16;327336,50999999995;1,7011567745143685;118,6;143;134559
3. Landstraße;2535;12;15709,61;0,21220495675240042;6,2;86;86082
4. Wieden;717;2;938,99;0,05286147295193459;1,3;45;39474
5. Margareten;952;8;4720,64;0,2346466508662189;5;37;54373
6. Mariahilf;621;4;2281,47;0,15679732668416874;3,7;54;26945
7. Neubau;656;2;702,17;0,04366060913566705;1,1;80;20103
8. Josefstadt;525;3;2114,34;0,19398581404533852;4;45;24221
9. Alsergrund;970;4;2175,96;0,07332924903925038;2,2;74;40100
10. Favoriten;5103;20;362707,76;1,1400012994102393;71,1;179;177745
11. Simmering;3372;13;20325,440000000002;0,0873975460746814;6;130;178895
12. Meidling;2377;13;23309,760000000002;0,2873974927754203;9,8;204;39758
13. Hietzing;2138;4;15894;0,042145133353370966;7,4;190;198487
14. Penzing;3131;9;101945,49999999999;0,3019641192013226;32,6;217;155580
15. Rudolfsheim-Fünfhaus;1387;9;17844,3;0,45558567988481036;12,9;69;56765
16. Ottakring;2046;2;3548,33;0,040912150114976086;1,7;156;55596
17. Hernals;1461;3;2611,6499999999996;0,02291651118401954;1,8;143;79695
18. Währing;1513;4;8837,09;0,1392282732766206;5,8;87;72956
19. Döbling;2795;7;16246,75;0,06513320481749321;5,8;182;137054
20. Brigittenau;1800;9;11841,23;0,20735986726088174;6,6;71;80429
21. Floridsdorf;7416;9;28453,360000000004;0,06402161014244206;3,8;295;150655
22. Donaustadt;9371;17;107209,8;0,10479994651476218;11,4;364;281043
23. Liesing;4664;17;48202,28;0,15034454220106425;10,3;207;154885
Quelle: Stadt Wien Rechnungs- und Abgabenwesen, Stadt Wien Wiener Stadtgärten und Stadt Wien Abfallwirtschaft, Straßenreinigung und Fuhrpark.;;;;;;;
"(1) Stichtag 1. 9. 2024.
(2) Hundezonen: Stichtag 12. 06. 2024. Verordnete Hundezonen und Hundeausläufe in Betreuung der Stadt Wien Wiener Stadtgärten. 
(3) Fläche pro registriertem Hund im jeweiligen Bezirk.
(4) Auf einen Sackerlspender kommen ... m² Bezirksfläche.";;;;;;;
