M0009;;;;;;;;;;vormals C0034;;;;;;;;;;
Kleingärten in Wien nach Flächenwidmung seit 2008;;;;;;;;;;;;;;;;;;;;
Flächenwidmung;Berichtsjahr;;;;;;;;;;;;;;;;;;;
;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;
;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha
Parzellen;35495;1409,26;35662;1410,8;35816;1414,3;35990;1419,6;35990;1415;36021;1416,9621;36014;1414,3753;35299;1496,7;35815;1436,4289;35816;1427,6326
Kleingartengebiete;3929;149,8;3054;115,5;3037;115;3034;115,1;3017;114,6;2870;107,6524;2859;105,7794;1928;90,6;2375;85,0777;2372;84,994
Für ganzjähriges Wohnen;22464;847,2;23499;889;23631;891,2;23686;893,9;23720;896,2;23863;903,1892;23874;903,2018;24211;993,4;24205;924,734;24226;926,4832
Gartensiedlungsgebiete;5007;249,16;5115;249,8;5323;257,5;5524;262,7;5610;264,8;5654;266,5128;5654;266,5092;5722;270;5766;272,966;5770;273,419
Bauland;1186;52,94;1119;49,7;997;43,1;965;41,6;860;33,7;859;33,797;858;33,73;592;20;585;21,5484;559;18,9137
Grundflächen für Badehütten;1590;36,23;1590;36,2;1597;38,3;1599;38,4;1599;38,4;1599;38,367;1597;38,367;1599;38,4;1635;32,8731;1645;39,6035
Erholungs-, Agrar- und Schutzgebiete;575;42,39;564;39,3;554;38,8;552;38,8;555;38,8;552;38,5435;548;37,8693;653;56,9;653;62,9468;653;56,9381
Verkehrsflächen *;744;31,54;721;31,3;677;30,4;630;29,1;629;29,1;624;28,9002;624;28,9186;594;27,3;596;36,2829;591;27,2811
Quelle: MA 69 – Koordinierungsstelle für städtische Kleingärten und Berechnung MA 23.;;;;;;;;;;;;;;;;;;;;
* Derzeit noch nicht für den Verkehr genützte Flächen.;;;;;;;;;;;;;;;;;;;;
