Nettoauslastung der Gästebetten in Wien nach Betriebskategorien und Monaten 2023;;;;;
Monat;Nettoauslastung in Hotels und ähnlichen Beherbergungsbetrieben in %;;;;
;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2023;54;50,2;55,9;53,5;51,7
Jänner;36,2;36,4;37,2;35,6;33
Februar;37,9;34,3;38,9;37,7;38,5
März;44,369755164708685;40,23371926310708;45,956859840392426;44,09473190048767;43,35388816096904
April;59,14303662266573;51,45569150908417;62,02637802194641;59,00308923131753;56,23366368982793
Mai;56,39855728295373;50,37566783362446;57,74133932998442;57,150131870202046;55,445586371955514
Juni;58,059133515582694;54,37284277006683;59,120158940614154;58,7791039111054;55,610342925613864
Juli;62,23888348586184;54,30427335849164;65,19187430035316;61,60202363365619;60,79480765913403
August;61,0473005383529;52,35024056741218;64,48941123967622;60,1276468579235;59,24708503780308
September;58,34658187599364;56,072556363369316;59,60281218826877;58,314908030295896;55,66799268895818
Oktober;55,37632602397474;53,717079280138336;57,196008761255776;54,5096000632847;52,16749729672598
November;51,099833951277205;51,08357200558126;53,36649544957919;49,30974789523464;46,658126039298196
Dezember;64,86700202099499;66,2192433508747;66,84155726916526;64,04214904639713;57,094815968744975
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
