Wildabschuss und Fallwild in den Jagdgebieten (1) der Stadt Wien nach Wildarten 2023;;;;
Wildarten;Abschüsse insgesamt;Fallwild (Verluste);;
;;insgesamt;Straßenverkehr;sonstige Verluste
Wild insgesamt;1963;1002;222;780
Haarwild;1829;372;197;175
Rotwild;35;–;–;–
Damwild;22;1;–;1
Rehwild;379;194;90;104
Muffelwild;82;3;–;3
Schwarzwild;892;31;9;22
Hasen;164;65;46;19
Dachse;30;4;2;2
Füchse;126;26;18;8
Marder;75;38;24;14
Sonstiges Haarwild;24;10;8;2
Federwild;134;630;25;605
Quelle: Stadt Wien Wasserrecht.;;;;
(1) Im Stadtgebiet von Wien gibt es 33 Jagdgebiete.;;;;
