Unselbstständig Beschäftigte in Unternehmen in Wien nach Geschlecht und Wirtschaftstätigkeiten 2022;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter nicht-österr. Staatsangehörigkeit;;
;;Männer;Frauen;insgesamt;Männer;Frauen
Insgesamt;1207580;636200;571380;313924;170112;143812
Land- und Forstwirtschaft;1318;742;576;819;478;341
Bergbau;50;34;16;3;2;1
Herstellung von Waren;61947;45304;16643;14357;9720;4637
Nahrungs- und Futtermittel;9041;4971;4070;3883;2228;1655
Elektrische Ausrüstungen;8440;6496;1944;1227;848;379
Reparatur/Installation v. Maschinen;9453;8127;1326;1092;900;192
Pharmazeutische Erzeugnisse;2446;1277;1169;615;299;316
Maschinenbau;5544;4540;1004;1261;977;284
Metallerzeugnisse;2876;2179;697;922;751;171
Sonstige Waren;3030;1657;1373;720;348;372
Kraftwagen und -teile;2024;1852;172;361;328;33
Datenverarbeitungsgeräte;2045;1609;436;369;276;93
Chemische Erzeugnisse;2392;1658;734;673;434;239
Rest;14656;10938;3718;3234;2331;903
Energieversorgung;6753;5019;1734;502;329;173
Wasserversorgung und Abfallentsorgung;1237;987;250;431;399;32
Abfallbehandlung;975;766;209;358;332;26
Rest;262;221;41;73;67;6
Bau;62008;54705;7303;28942;26983;1959
Sonst. Bautätigkeiten;38330;33379;4951;18042;16668;1374
Hochbau;19757;17643;2114;9610;9057;553
Tiefbau;3921;3683;238;1290;1258;32
Handel;133522;60840;72682;38635;17830;20805
Einzelhandel;69166;20756;48410;22034;7571;14463
Großhandel;53769;31561;22208;13792;7874;5918
Kfz-Handel und -reparatur;10587;8523;2064;2809;2385;424
Verkehr;89313;72110;17203;21132;17763;3369
Landverkehr;35534;30101;5433;12188;10797;1391
Dienstleistungen für den Verkehr;31833;27282;4551;3566;2785;781
Post- und Kurierdienste;21569;14473;7096;5253;4088;1165
Luftfahrt;240;153;87;71;47;24
Schifffahrt;137;101;36;54;46;8
Beherbergung und Gastronomie;66939;36258;30681;38011;20792;17219
Information und Kommunikation;71499;47115;24384;16179;10635;5544
IT-Dienstleistungen;32371;23003;9368;8667;5707;2960
Informationsdienstleistungen;12596;8630;3966;4115;3035;1080
Telekommunikation;10926;7728;3198;1149;771;378
Rest;15606;7754;7852;2248;1122;1126
Finanz- und Versicherungsleistungen;56165;29302;26863;8225;4213;4012
Grundstücks- und Wohnungswesen;17771;8311;9460;3838;1915;1923
Freiberufliche/techn. Dienstleistungen;100939;46315;54624;24402;11290;13112
Unternehmensführung, -beratung;31408;16066;15342;7966;4010;3956
Rechtsberatung und Wirtschaftsprüfung;23021;6775;16246;4101;1107;2994
Architektur- und Ingenieurbüros;18145;10748;7397;4611;2580;2031
Werbung und Marktforschung;13879;5715;8164;3090;1373;1717
Rest;14486;7011;7475;4634;2220;2414
Sonst. wirtschaftl. Dienstleistungen;98305;52369;45936;47255;24324;22931
Öffentliche Verwaltung;199637;93181;106456;10073;3129;6944
Erziehung und Unterricht;69355;27763;41592;19740;7731;12009
Gesundheits- und Sozialwesen;116425;31844;84581;26659;6312;20347
Kunst, Unterhaltung und Erholung;22021;11434;10587;5476;2653;2823
Sonst. Dienstleistungen;32376;12567;19809;9245;3614;5631
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;;;
