Bauwesen in Wien nach Monaten 2023;;;;;;
Monat (1);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1.000 h;Mio. EUR;;
Jänner;6927;52138;7653,278;180,318;571,915;327,441
Februar;6785;54146;7834,556;179,462;545,094;434,611
März;6879;56421;8664,992;200,69;636,459;570,296
April;6866;56580;8424,616;204,085;512,489;545,812
Mai;6868;57253;8931,652;224,571;648,372;498,919
Juni;6938;57285;8810,587;305,473;810,577;491,963
Juli;6927;57136;8693,595;222,473;558,789;518,528
August;6936;56862;8902,197;223,122;626,934;473,603
September;6936;56995;8641,466;210,131;620,07;511,441
Oktober;6979;56971;8852,577;223,76;603,451;493,966
November;6937;56444;8805,798;354,674;642,06;551,697
Dezember;6942;50024;7541,674;210,525;690,945;464,9
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
(1) Monatsende, vorläufige Ergebnisse.;;;;;;
