Gemüseproduktion in den Bundesländern nach Produktgruppen 2023;;;;;;;;
Bundesland;Insgesamt;;Gemüseproduktion;;;;;
;;;Fruchtgemüse (1);;"Kohl-, Blatt- und
Stängelgemüse (2)";;"Hülsenfrüchte (3)
Wurzel- und Zwiebelgemüse (4)";
;t;%;t;%;t;%;t;%
Österreich;651452,98;100;164250,25;100;137245;100;349957,7299999999;100
Burgenland;61777;9,482956083799019;35180;21,418536653673282;8269,5;6,025356114976866;18327,5;5,237061058774157
Kärnten;5939,96;0,911801800338683;893,5500000000001;0,5440174368075544;1813,2;1,321141025173959;3233,21;0,9238858647300063
Niederösterreich;351984,2;54,030637790619984;38909;23,688852832796297;36000,5;26,23082808116871;277074,7;79,17376192833348
Oberösterreich;75960,6;11,660181522233579;27100;16,499213852033712;30430;22,172028124886154;18430,6;5,266521759642229
Salzburg;4879,349999999999;0,7489949620001738;604,8000000000001;0,3682186176276749;2095,2;1,5266129913658055;2179,3499999999995;0,622746638572607
Steiermark;31297,86;4,804316038281075;8941,7;5,4439490959678905;15818,5;11,5257386425735;6537,66;1,8681284736873798
Tirol;49827;7,648594991460474;4056;2,469402634090359;25773;18,77882618674633;19998;5,714404422499827
Vorarlberg;2906,5499999999997;0,4461642035930206;613,5;0,37351541321854914;1271,2;0,9262268206492039;1021,8499999999998;0,2919924071972921
Wien;66880,46;10,266352607674003;47951,700000000004;29,19429346378469;15773,9;11,49324201245947;3154,8599999999997;0,9014974465630465
Quelle: Statistik Austria – Gemüseernteerhebung 2023 und Berechnungen Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
"(1) Gurken, Paprika, Pfefferoni, Paradeiser (Tomaten), Zucchini, Speisekürbisse, Melanzani, Melonen, Zuckermais. 
(2) Brokkoli, Chinakohl, Karfiol, Kohl, Kohlrabi, Kraut, Kohlsprossen, Salate, Spinat, Pastinaken, Petersilie, Schnittlauch, Rhabarber, Spargel. 
(3) Grünerbsen, Fisolen, Käferbohnen, Soja. 
(4) Karotten, Radieschen, Bierrettich, Rote Rüben, Knoblauch, Fenchel, Kren (Meerrettich), Petersilienwurzel, Soja, Süßkartoffeln, Zwiebel, Porree, Zeller (Knollensellerie) Pastinaken, Süßkartoffeln.";;;;;;;;
