Arbeitsstätten und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2022;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;167275;1167525;617277;550248
Land- und Forstwirtschaft;1109;2299;1331;968
Bergbau;25;90;62;28
Herstellung von Waren;3987;57806;40612;17194
Nahrungs- und Futtermittel;562;8692;5189;3503
Elektrische Ausrüstungen;96;5401;3949;1452
Reparatur/Installation v. Maschinen;318;7022;5789;1233
Pharmazeutische Erzeugnisse;120;5660;3180;2480
Maschinenbau;125;4827;3881;946
Metallerzeugnisse;399;3489;2680;809
Sonstige Waren;625;3520;1968;1552
Kraftwagen und -teile;87;2156;1975;181
Datenverarbeitungsgeräte;202;2126;1674;452
Chemische Erzeugnisse;126;2267;1417;850
Rest;1327;12646;8910;3736
Energieversorgung;108;5697;4060;1637
Wasserversorgung und Abfallentsorgung;122;4630;4093;537
Abfallbehandlung;99;3907;3503;404
Beseitigung v. Umweltverschmutzungen;2;16;13;3
Rest;21;707;577;130
Bau;7380;66283;58507;7776
Sonst. Bautätigkeiten;6089;39281;34300;4981
Hochbau;1193;21910;19452;2458
Tiefbau;98;5092;4755;337
Handel;22672;146523;73524;72999
Einzelhandel;14041;80534;31577;48957
Großhandel;6875;53842;31991;21851
Kfz-Handel und -reparatur;1756;12147;9956;2191
Verkehr;5394;53881;43945;9936
Landverkehr;4419;30660;26093;4567
Dienstleistungen für den Verkehr;542;13502;10373;3129
Post- und Kurierdienste;377;9404;7261;2143
Luftfahrt;41;186;121;65
Schifffahrt;15;129;97;32
Beherbergung und Gastronomie;8478;68608;38209;30399
Information und Kommunikation;11493;74601;50516;24085
IT-Dienstleistungen;6219;37264;27285;9979
Informationsdienstleistungen;2475;13881;9654;4227
Telekommunikation;144;7226;4812;2414
Rest;2655;16230;8765;7465
Finanz- und Versicherungsleistungen;4233;45651;23555;22096
Grundstücks- und Wohnungswesen;5477;19071;9156;9915
Freiberufliche/techn. Dienstleistungen;39260;129563;66503;63060
Unternehmensführung, -beratung;15031;42546;24612;17934
Rechtsberatung und Wirtschaftsprüfung;6448;27183;10116;17067
Architektur- und Ingenieurbüros;4976;20965;13153;7812
Werbung und Marktforschung;5464;18107;8264;9843
Rest;7341;20762;10358;10404
Sonst. wirtschaftl. Dienstleistungen;7781;101904;54531;47373
Öffentliche Verwaltung;492;97757;46788;50969
Erziehung und Unterricht;5631;96785;35781;61004
Gesundheits- und Sozialwesen;20983;128493;35857;92636
Kunst, Unterhaltung und Erholung;9432;29999;15832;14167
Sonst. Dienstleistungen;13218;37884;14415;23469
Quelle: Statistik Austria – Arbeitsstättenzählung 2022.;;;;
