Städtische Sportanlagen, Sporthallen und Schulturnsäle nach Gemeindebezirken 2018;;;;;;
Gemeindebezirk;Großsportanlagen *;;Sporthallen in Verwaltung
der Stadt Wien;;Schulturnsäle, Gym.- und Bewegungsräume im Besitz der Stadt Wien;
;abs.;m² Grundfläche(n);abs.;m² Grundfläche(n);abs.;m²
Wien;167;3455413;17;62534;546;116396,23
1. Innere Stadt;–;–;–;–;3;406
2. Leopoldstadt;18;1019962;2;15185;35;6415,23
3. Landstraße;6;69219;–;–;24;4209
4. Wieden;–;–;–;–;8;1436
5. Margareten;1;1488;1;6385;12;1892
6. Mariahilf;–;–;1;–;6;782
7. Neubau;–;–;–;–;11;2271
8. Josefstadt;1;1268;–;–;5;1085
9. Alsergrund;–;–;–;–;9;1449
10. Favoriten;19;465881;1;3626;56;12516
11. Simmering;14;214726;1;3609;29;6925
12. Meidling;5;52402;–;–;29;4897
13. Hietzing;4;18995;–;–;13;2804
14. Penzing;10;187907;–;–;23;5511
15. Rudolfsheim-Fünfhaus;2;42432;1;4173;28;4133
16. Ottakring;4;84824;1;3884;25;4305
17. Hernals;2;35108;–;–;18;2923
18. Währing;2;21899;–;–;15;2003
19. Döbling;13;131810;–;–;15;2847
20. Brigittenau;3;78379;1;6804;27;5852
21. Floridsdorf;25;278103;2;4620;56;14536
22. Donaustadt;27;538726;3;9124;67;19019
23. Liesing;11;212284;3;5124;32;8180
Quelle: MA 51.;;;;;;
* Alle Sportanlagen über 1.000 m² Fläche, inklusive Betriebsführungsverträge, inklusive Spielplätze und Jugendsportanlage in Verwaltung der MA 51.;;;;;;
