Spielplätze nach Typen, Spielflächen und Gemeindebezirken 2019 *;;;;;;;;;;
Gemeindebezirk;Standorte **;Spielplätze;;;Spielplätze nach Typen;;;;;
;;insgesamt;Fläche;Anteil an der Bezirksfläche;Kleinkinderspielplätze;;Ballspielplätze;;Sonstige Spielplätze ***;
;;;m²;%;abs.;m²;abs.;m²;abs.;m²
Wien;562;1703;976536,12;–;342;128188,97;613;230552,37;748;617794,78
1. Innere Stadt;5;9;3561,99;0,124164240447605;2;853,99;5;633,6;2;2074,4
2. Leopoldstadt;35;120;149961,02;0,779342693381584;29;7609,83;41;12033,78;50;130317,41
3. Landstraße;17;60;28255,58;0,381950476411463;12;4114,79;17;8573,83;31;15566,96
4. Wieden;11;38;9841,33;0,554376172581381;12;1374,95;9;2035,14;17;6431,24
5. Margareten;16;62;13811,4;0,686574579781807;14;2886,31;24;4862,26;24;6062,83
6. Mariahilf;10;37;11103,76;0,763100268982358;4;1774,06;11;2177,58;22;7152,12
7. Neubau;12;46;9515,62;0,591676380985199;8;2566,54;17;2863,78;21;4085,3
8. Josefstadt;5;17;5471,09;0,501959857821827;5;1826,57;9;1997,34;3;1647,18
9. Alsergrund;15;44;18414,21;0,620553309791059;11;5925,66;15;3375,24;18;9113,31
10. Favoriten;54;166;110647,29;0,347636115244864;29;10524,81;75;28253,82;62;71868,66
11. Simmering;30;96;41507,47;0,178477853514707;21;16509,12;43;12363,7;32;12634,65
12. Meidling;30;108;35540,27;0,438607660306189;23;5702,76;29;9723,47;56;20114,04
13. Hietzing;22;53;42288,68;0,11212771494458;17;5481,33;13;6449,75;23;30357,6
14. Penzing;22;63;34336,89;0,101700614298047;15;5647,84;21;11589,4;27;17099,65
15. Rudolfsheim-Fünfhaus;28;72;30225,07;0,771358138896252;15;7319,63;29;6728,65;28;16176,79
16. Ottakring;26;83;19830,06;0,22864535457852;17;4524,17;27;6666,03;39;8639,86
17. Hernals;15;39;11474,7;0,100731671767874;14;5147,04;10;3705,46;15;2622,2
18. Währing;15;57;21571,62;0,339879033473173;14;4662,73;20;5420,25;23;11488,64
19. Döbling;26;61;38326,48;0,153649064962594;18;10104,35;16;4897,18;27;23324,95
20. Brigittenau;20;56;32107,67;0,562258376703593;8;2930,31;22;8272,14;26;20905,22
21. Floridsdorf;52;134;102488,68;0,230605905566602;16;3692,22;51;34213,19;67;64583,27
22. Donaustadt;67;184;157578,14;0,154036191725702;18;7653,69;78;36597,29;88;113327,16
23. Liesing;29;98;48677,1;0,151822753719911;20;9356,27;31;17119,49;47;22201,34
Quelle: MA 42.;;;;;;;;;;
* Zum Stichtag: 03.04.2019 (nur von der MA 42 betreute Spielplätze).
** Die Zahl der Standorte der Spielplätze ist geringer als die Zahl der Spielplätze insgesamt, weil es an einem Standort auch mehrere Spielplatztypen geben kann.
*** Sonstige Spielplätze = Skaterparks, Spielplätze, Themenspielplätze, Generationenspielplätze und Wasserspielplätze. Inklusive 11 Wasserspielplätze mit einer Fläche von 6.269,11 m².;;;;;;;;;;
