Wiener Festwochen - Vorstellungen und Besuche 2017;;;;;;
Veranstaltungen;Vorstellungen;darunter;Besuche;darunter;;
;;zeit-
genössisch *;;Oper, 
Operette, 
Musical, 
Show, 
Tanz, 
Ballett;Sprech-
stück, 
Kabarett;Konzert 
(E-Musik 
und
U-Musik)
Wiener Festwochen;218;218;95694;11046;15227;48592
Theater an der Wien;13;-;4496;3373;1123;-
Museumsquartier Halle E;18;-;11843;4041;7077;-
Museumsquartier Halle G;14;-;4083;1278;2805;-
Volkstheater;7;-;4564;2354;2210;-
Rathausplatz, Eröffnung;1;-;45000;-;-;45000
Schloss, Neugebäude;4;-;3592;-;-;3592
Schauspielhaus Wien;7;-;714;-;714;-
Performeum;66;-;4487;-;-;-
Theater Akzent;3;-;1298;-;1298;-
Diversle Spielstätten;85;-;15617;-;-;-
Quelle: Wiener Festwochen GesmbH.;;;;;;
* Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.;;;;;;
