Einkommensteuer nach Gemeindebezirken 2017 Ã¢â‚¬â€œ Frauen;;;;
Gemeindebezirk;VeranlagungsfÃƒÂ¤lle;EinkÃƒÂ¼nfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;53389;2391,79968451;2327,82925151;704,65312245
1. Innere Stadt;1625;101,12788477;98,04512749;35,89470052
2. Leopoldstadt;2887;121,55023047;118,4208459;34,4983296
3. LandstraÃƒÅ¸e;3492;168,06272222;164,23480156;51,15952682
4. Wieden;1797;87,59148778;85,0573808;27,17995187
5. Margareten;1735;65,9344551;64,48780945;17,18870882
6. Mariahilf;1526;67,80116607;66,19048809;20,23180561
7. Neubau;1772;80,13481151;78,35290613;24,03994768
8. Josefstadt;1531;77,586386;75,78040722;24,71676617
9. Alsergrund;2247;111,81904921;109,34180719;34,55822976
10. Favoriten;2404;87,27750795;84,42511603;21,71537495
11. Simmering;1176;39,17648428;37,98975116;9,0759153
12. Meidling;1888;71,57293975;69,50869228;18,34442221
13. Hietzing;3073;162,38105026;157,82979546;51,99844389
14. Penzing;2986;124,46340474;120,64312278;33,92381325
15. Rudolfsheim-FÃƒÂ¼nfhaus;1582;55,14386761;53,72052986;13,25292045
16. Ottakring;2449;95,65253559;92,90737844;25,05171603
17. Hernals;1897;81,27592341;79,06150568;22,98983247
18. WÃƒÂ¤hring;3087;161,40176713;157,48511516;51,18777586
19. DÃƒÂ¶bling;3714;207,99416203;201,90850906;69,44175934
20. Brigittenau;1349;49,12470102;47,94434588;12,29355513
21. Floridsdorf;2703;104,10542611;101,31937838;30,06593079
22. Donaustadt;3525;142,11077842;138,33504583;39,07709895
23. Liesing;2944;128,51094308;124,83939168;36,76659698
Quelle: Statistik Austria Ã¢â‚¬â€œ Einkommensteuerstatistik.;;;;
Anmerkung: Nur SteuerfÃƒÂ¤lle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
