Beitragspflichtige Bruttomonatseinkommen am Arbeitsort nach WirtschaftstÃƒÂ¤tigkeiten 2019;;;;;;
Abschnitt 
(Ãƒâ€“NACE 2008);Bruttomonatseinkommen (1);;;;;
;Wien;;;Ãƒâ€“sterreich;;
;0,25;0,5;0,75;0,25;0,5;0,75
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;1842;2741;4109;1885;2741;3799
Land- und Forstwirtschaft; Fischerei;1220;1620;1865;1188;1587;1906
Bergbau und Gewinnung von Steinen und Erden;5220;6066;Ã¢â‚¬â€œ;2918;3554;4512
Herstellung von Waren;2528;3694;5227;2569;3377;4502
Energieversorgung;3411;4774;6044;3371;4788;6087
Wasserversorgung; Abwasser- und Abfallentsorgung;2277;3053;4097;2193;2776;3554
Bau;2296;2856;3561;2493;3069;3707
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;1711;2431;3737;1668;2345;3311
Verkehr und Lagerei;1840;2862;3734;1977;2684;3441
Beherbergung und Gastronomie;1157;1783;2119;1339;1888;2383
Information und Kommunikation;2827;4224;5790;2581;3930;5451
Erbringung von Finanz- und Versicherungsdienstleistungen;2989;4603;6086;2600;3984;5621
GrundstÃƒÂ¼cks- und Wohnungswesen;1475;2607;3966;1523;2481;3730
Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen;2033;3230;4797;1894;3000;4451
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1569;2134;2845;1668;2324;2923
Ãƒâ€“ffentliche Verwaltung, Verteidigung, Sozialversicherung;1994;3108;4633;2111;3013;4072
Erziehung und Unterricht;1462;2226;2944;1351;2262;3297
Gesundheits- und Sozialwesen;1704;2416;3251;1558;2272;3152
Kunst, Unterhaltung und Erholung;1448;2488;3771;1394;2250;3362
Erbringung von sonstigen Dienstleistungen;1483;2334;3735;1398;2022;3161
Private Haushalte;869;1352;2196;902;1349;2067
Exterritoriale Organisationen und KÃƒÂ¶rperschaften;2757;3615;4879;2757;3603;4863
Wirtschaftsklasse nicht bekannt;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;1680;2901;4851
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger.;;;;;;
(1) In einigen Kategorien nicht verfÃƒÂ¼gbar, da das Einkommen ÃƒÂ¼ber der HÃƒÂ¶chstbeitragsgrundlage liegt.;;;;;;
