Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2018 Ã¢â‚¬â€œ MÃƒÂ¤nner;;;;;;
Gemeindebezirk;Durchschnittlicher Jahresbezug
pro Arbeitnehmer;;Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmer;Durchschnittlicher Jahresbezug
pro Pensionist;;Index des
durchschnittlichen
Nettobezuges
pro Pensionist
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;37143;25189;100;30702;24074;100
1. Innere Stadt;65172;39889;158,358807415936;45196;33098;137,484423028994
2. Leopoldstadt;35821;24349;96,6652110048037;26699;21341;88,6475035307801
3. LandstraÃƒÅ¸e;39976;26577;105,510341815872;31469;24443;101,532773946997
4. Wieden;45115;29397;116,705704871174;35670;27218;113,059732491485
5. Margareten;31681;21832;86,6727539799119;25970;20952;87,0316524050843
6. Mariahilf;40215;26700;105,998650204454;30022;23652;98,2470715294509
7. Neubau;42400;27920;110,842034221287;32531;25175;104,573398687381
8. Josefstadt;43245;28198;111,945690579221;38009;28759;119,460829110243
9. Alsergrund;41710;27464;109,031720195323;35332;26891;111,701420619756
10. Favoriten;29473;20761;82,4208980110366;26581;21413;88,9465813740965
11. Simmering;34008;23712;94,1363293501131;27524;22079;91,7130514247736
12. Meidling;31597;22004;87,3555917265473;27211;21784;90,4876630389632
13. Hietzing;53724;34726;137,861765056175;41851;31176;129,500706156019
14. Penzing;38460;26011;103,263329231014;32356;25204;104,693860596494
15. Rudolfsheim-FÃƒÂ¼nfhaus;27454;19391;76,9820159593473;23398;19188;79,7042452438315
16. Ottakring;32345;22486;89,2691254118861;27288;21881;90,8905873556534
17. Hernals;36317;24568;97,5346381356942;31741;24763;102,862008806181
18. WÃƒÂ¤hring;46990;30714;121,934177617214;39985;30006;124,640691202127
19. DÃƒÂ¶bling;51716;33340;132,359363214101;40363;30265;125,716540666279
20. Brigittenau;27775;19619;77,8871729723292;24343;19810;82,2879455013708
21. Floridsdorf;37331;25578;101,544324903728;29839;23627;98,1432250560771
22. Donaustadt;42466;28659;113,77585453968;30920;24392;101,320927141314
23. Liesing;44441;29719;117,984040652666;35014;27039;112,316191742128
Quelle: Statistik Austria Ã¢â‚¬â€œ Lohnsteuerstatistik.;;;;;;
