Lohnsteuerpflichtige Personen mit Wiener Wohnsitz nach Bruttojahreseinkommen und Geschlecht 2018;;;;;;
Stufe der
BruttobezÃƒÂ¼ge in EUR;Arbeitnehmerinnen und Arbeitnehmer;;;Pensionistinnen und Pensionisten;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Insgesamt;907948;474568;433380;400918;167856;233062
Bis 2.000;75129;38640;36489;17771;8221;9550
2.000 bis unter 4.000;47598;23551;24047;6600;2712;3888
4.000 bis unter 6.000;41143;19631;21512;9421;2866;6555
6.000 bis unter 8.000;32696;15564;17132;11054;2952;8102
8.000 bis unter 10.000;28071;13934;14137;13262;3880;9382
10.000 bis unter 12.000;28372;13796;14576;15894;4686;11208
12.000 bis unter 15.000;38547;18441;20106;52425;16309;36116
15.000 bis unter 18.000;39571;17830;21741;30441;10030;20411
18.000 bis unter 20.000;27084;11561;15523;20885;8096;12789
20.000 bis unter 25.000;76851;35001;41850;44071;16556;27515
25.000 bis unter 30.000;76713;39020;37693;42649;17845;24804
30.000 bis unter 35.000;70749;37703;33046;37006;18203;18803
35.000 bis unter 40.000;62860;33997;28863;29194;16072;13122
40.000 bis unter 50.000;86357;46837;39520;35483;19270;16213
50.000 bis unter 70.000;91572;51241;40331;21784;11171;10613
70.000 bis unter 100.000;51022;33131;17891;9181;6081;3100
100.000 bis unter 150.000;23198;16507;6691;2953;2209;744
150.000 bis unter 200.000;5747;4390;1357;478;375;103
200.000 und mehr;4668;3793;875;366;322;44
Quelle: Statistik Austria Ã¢â‚¬â€œ Lohnsteuerstatistik.;;;;;;
