Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2018 Ã¢â‚¬â€œ Frauen;;;;;;
Gemeindebezirk;Durchschnittlicher Jahresbezug
pro Arbeitnehmerin;;Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmerin;Durchschnittlicher Jahresbezug
pro Pensionistin;;Index des
durchschnittlichen
Nettobezuges
pro Pensionistin
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;28905;20484;100;23448;19370;100
1. Innere Stadt;38894;26266;128,226908806874;30343;23966;123,727413526071
2. Leopoldstadt;28245;19975;97,5151337629369;21722;18135;93,6241610738255
3. LandstraÃƒÅ¸e;31046;21614;105,51650068346;23749;19498;100,660815694373
4. Wieden;32383;22219;108,470025385667;27044;21819;112,643262777491
5. Margareten;26661;18972;92,6186291739894;21611;18085;93,3660299432111
6. Mariahilf;30561;21223;103,607693809803;24528;20079;103,660299432112
7. Neubau;32537;22355;109,133958211287;24755;20225;104,414042333505
8. Josefstadt;32250;22088;107,830501855106;28542;22857;118,002065049045
9. Alsergrund;31928;22029;107,542472173404;26415;21290;109,912235415591
10. Favoriten;24446;17864;87,2095293887913;21251;17864;92,2250903458957
11. Simmering;26464;19220;93,8293302089436;20688;17526;90,4801239029427
12. Meidling;26078;18823;91,8912321812146;22082;18409;95,0387196695922
13. Hietzing;35753;24497;119,590900214802;28779;22925;118,35312338668
14. Penzing;30231;21325;104,105643429018;24803;20279;104,692823954569
15. Rudolfsheim-FÃƒÂ¼nfhaus;23994;17471;85,2909587971099;20148;17102;88,291171915333
16. Ottakring;27415;19662;95,9871118922086;22569;18791;97,0108415074858
17. Hernals;28135;20035;97,8080453036516;24304;19986;103,180175529169
18. WÃƒÂ¤hring;33503;23040;112,478031634446;28213;22610;116,72689726381
19. DÃƒÂ¶bling;32981;22768;111,150165983206;28070;22497;116,143520908622
20. Brigittenau;24114;17515;85,5057605936341;20325;17157;88,5751161590088
21. Floridsdorf;28917;20686;100,986135520406;22511;18805;97,0831182240578
22. Donaustadt;30947;21932;107,068931849248;22692;18933;97,7439339184306
23. Liesing;31712;22350;109,109548916227;24680;20297;104,78575116159
Quelle: Statistik Austria Ã¢â‚¬â€œ Lohnsteuerstatistik.;;;;;;
