Religionsgemeinschaften in Wien 2023 – christliche und sonstige Kirchen;;;;;;;;;
Merkmal;Religionsbekenntnis;;;;;;;;
;christliche Kirchen;;;;;;;sonstige Kirchen;
;römisch-katholisch (1);altkatholisch;evangelisch A.B.;evangelisch H.B.;"evangelisch-
methodistisch";neuapostolisch;Mormonen (2);israelitisch (3);buddhistisch (4)
Glaubensangehörige insgesamt;540715;3047;38446;3832;586;521;1333;8047;1727
Männer;245208;1353;;;;251;727;3941;875
Frauen;295501;1694;;;;270;606;4106;852
Taufen;2921;18;256;18;4;3;24;362;9
Übertritte (Konversionen);25;;114;10;16;5;;–;26
Trauungen;428;;77;7;1;3;3;36;5
Pfarrgemeinden (Kirchengemeinden);127;4;21;3;3;3;4;1;–
Stätten der Religionsausübung;243;4;28;3;2;3;4;24;30
Geistliche;1349;7;38;5;4;50;229;23;17
Männer;778;4;15;3;3;50;;23;10
Frauen;571;3;23;2;1;–;;–;7
ReligionslehrerInnen;744;4;103;9;–;11;45;33;4
Männer;241;2;27;2;–;5;14;16;1
Frauen;503;2;76;7;–;6;31;17;3
"Von der Religionsgemeinschaft
erhaltene Bildungseinrichtungen";185;–;26;–;–;–;–;10;–
Schulen;49;–;11;–;–;–;–;5;–
Kindergärten;136;–;15;–;–;–;–;5;–
Quelle: Erzdiözese Wien – Matrikenreferat, Elektronisches Verwaltungsprogramm der Altkatholischen Kirche Österreichs, Evangelische Superintendentur A.B. – Diözese Wien, Evangelischer Oberkirchenrat H.B., Evangelisch-methodistische Kirche in Österreich, Neuapostolische Kirche Österreich, Kirche Jesu Christi der Heiligen der Letzten Tage – Österreichischer Kirchenvorstand, Israelitische Kultusgemeinde Wien – Mitgliederservice, Österreichische Buddhistische Religionsgesellschaft.;;;;;;;;;
"(1) Darunter 6 Glaubensangehörige mit unbekanntem Geschlecht. Seit 2022: Schulstandorte. 
(2) Kirche Jesu Christi der Heiligen der Letzten Tage. Als Geistliche werden alle Ältesten gezählt. Geistliche im Sinne der anderen Glaubensgemeinschaften: 0.
(3) Statt Taufen: Eintragungen bzw. Aufnahmen. Im Judentum ist ein Übertritt aus anderen Glaubensgemeinschaften unmöglich. 
(4) Zahl der eingetragenen Mitglieder der Österreichischen Buddhistischen Religionsgesellschaft in Wien.";;;;;;;;;
