Katholikinnen und Katholiken nach Wohnbezirk und Geschlecht 2001, 2022 und 2023;;;;;;;;;;;
Gemeindebezirk;15. 5. 2001;;;31. 12. 2022;;;;31. 12. 2023;;;
;"römisch-
katholisch insgesamt";Geschlecht;;"römisch-
katholisch insgesamt";Geschlecht;;;"römisch-
katholisch insgesamt";Geschlecht;;
;;Männer;Frauen;;Männer;Frauen;unbek.;;Männer;Frauen;unbek.
Wien;762089;330828;431261;557785;252780;305000;5;540715;245208;295501;6
1. Innere Stadt;8749;3926;4823;6334;3122;3212;–;6183;3032;3151;–
2. Leopoldstadt;38438;16865;21573;26665;12238;14427;–;25768;11823;13945;–
3. Landstraße;39529;16984;22545;28957;13141;15816;–;28239;12865;15374;–
4. Wieden;13638;5829;7809;10240;4696;5544;–;9851;4519;5332;–
5. Margareten;20705;8882;11823;13235;6123;7112;–;12598;5813;6785;–
6. Mariahilf;13210;5742;7468;8962;3972;4989;1;8664;3852;4811;1
7. Neubau;12833;5480;7353;9789;4461;5328;–;9440;4298;5141;1
8. Josefstadt;11736;5284;6452;8530;3949;4581;–;8294;3873;4421;–
9. Alsergrund;18476;7863;10613;13738;6268;7469;1;13204;6031;7172;1
10. Favoriten;70810;30789;40021;44870;20284;24585;1;43124;19499;23625;–
11. Simmering;38808;17390;21418;26936;12248;14688;–;25976;11822;14154;–
12. Meidling;36807;15662;21145;24170;10903;13267;–;23494;10619;12875;–
13. Hietzing;28623;12035;16588;22144;9860;12284;–;21467;9577;11890;–
14. Penzing;40747;17563;23184;30799;13890;16909;–;30130;13627;16503;–
15. Rudolfsheim-Fünfhaus;26099;11240;14859;17393;8088;9305;–;16664;7718;8946;–
16. Ottakring;38021;16297;21724;25260;11578;13682;–;24281;11163;13118;–
17. Hernals;22562;9815;12747;16528;7524;9004;–;15967;7302;8665;–
18. Währing;23768;9981;13787;18649;8267;10382;–;18113;8028;10085;–
19. Döbling;35684;14840;20844;27451;12209;15242;–;26640;11829;14811;–
20. Brigittenau;32314;14081;18233;18643;8441;10202;–;17710;8006;9704;–
21. Floridsdorf;69146;30462;38684;53794;24321;29473;–;51988;23473;28514;1
22. Donaustadt;74596;33472;41124;65914;29795;36117;2;64754;29299;35453;2
23. Liesing;46790;20346;26444;38784;17402;21382;–;38166;17140;21026;–
Quelle: Statistik Austria – Volkszählung 2001 sowie Erzdiözese Wien – Matrikenreferat.;;;;;;;;;;;
