Archive in Wien 2020;;;;;;;
"Archive
Ausstattung
BenutzerInnen";Insgesamt;Archive in Wien nach Archivarten (1);;;;;
;;Archive des Bundes;Wiener Stadt- und Landesarchiv;Kirchenarchive;Museumsarchive;"Universitäts- und Wissenschafts
archive";sonstige Archive
Archive insgesamt;47;15;1;6;1;9;15
Benutzerplätze;491;304;45;10;2;27;103
Regalmeter;470666;369234;56747;12025;22;16747;15891
Benutzer und Benutzerinnen;6123;3687;;93;5;344;1994
Anfragen;27164;11032;3616;1615;10;2260;8631
Beschäftigte (Vollzeitäquivalente);358,43;186,5;58;9,8;1;31;72,13
Quelle: Statistik Austria – Kulturstatistik,;;;;;;;
(1) Seit Jahr 2020 auch Museumsarchive + Universitäts- und Wissenschaftsarchive;;;;;;;
;;;;;;;
