Medienbestand nach Sammlungen der Wienbibliothek im Rathaus 2021;;;;;
Medienbestand;Sammlungen;;;;
;Druckschriften;Handschriften;Musik;Plakate;Dokumentation
Bücher;657073;–;–;–;–
Notendrucke;–;–;85141;–;–
Einblattmaterialien (1);–;–;–;245422;–
Mikromaterialien;5661;–;–;–;–
Sonstige nichtelektronische Materialien (2);–;–;–;–;250000
Manuskripte;–;260675;21198;–;–
Nachlässe;–;1726;847;–;–
Digitale Bestände;19860;41554;1003;192089;109990
Quelle: Stadt Wien Wienbibliothek im Rathaus,;;;;;
"(1) Einzeln inventarisierte Plakate,
(2) Überwiegend Tagblattarchiv-Mappen in der Dokumentationssammlung (Schätzung),";;;;;
;;;;;
