Unternehmen und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2021;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Unternehmen;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;148945;1281788;691023;590765
Land- und Forstwirtschaft;1045;2431;1401;1030
Bergbau;23;315;237;78
Herstellung von Waren;3450;66794;48343;18451
Nahrungs- und Futtermittel;393;9093;5030;4063
Elektrische Ausrüstungen;77;8357;6455;1902
Reparatur/Installation v. Maschinen;273;9718;8398;1320
Pharmazeutische Erzeugnisse;103;5878;3254;2624
Maschinenbau;108;5244;4302;942
Metallerzeugnisse;374;3098;2373;725
Sonstige Waren;560;3465;1942;1523
Kraftwagen und -teile;78;2113;1935;178
Datenverarbeitungsgeräte;194;2216;1753;463
Chemische Erzeugnisse;92;2271;1560;711
Rest;1198;15341;11341;4000
Energieversorgung;87;6475;4873;1602
Wasserversorgung und Abfallentsorgung;91;1199;951;248
Abfallbehandlung;70;959;746;213
Beseitigung v. Umweltverschmutzungen;3;3;3;0
Rest;18;237;202;35
Bau;7003;66622;59055;7567
Sonst. Bautätigkeiten;5797;42372;37214;5158
Hochbau;1126;20528;18351;2177
Tiefbau;80;3722;3490;232
Handel;18070;145144;68526;76618
Einzelhandel;10579;77228;25553;51675
Großhandel;5931;56109;33388;22721
Kfz-Handel und -reparatur;1560;11807;9585;2222
Verkehr;4796;91745;74413;17332
Landverkehr;4140;44518;38753;5765
Dienstleistungen für den Verkehr;358;25177;21169;4008
Post- und Kurierdienste;243;21643;14225;7418
Luftfahrt;44;280;169;111
Schifffahrt;11;127;97;30
Beherbergung und Gastronomie;7199;66540;36841;29699
Information und Kommunikation;10632;74672;50555;24117
IT-Dienstleistungen;5676;33746;24818;8928
Informationsdienstleistungen;2395;14424;10129;4295
Telekommunikation;97;9475;6440;3035
Rest;2464;17027;9168;7859
Fiz- und Versicherungsleistungen;3660;59282;31505;27777
Grundstücks- und Wohnungswesen;5575;22207;10582;11625
Freiberufliche/techn. Dienstleistungen;34458;124425;62993;61432
Unternehmensführung, -beratung;11854;37681;21154;16527
Rechtsberatung und Wirtschaftsprüfung;5993;27234;9942;17292
Architektur- und Ingenieurbüros;4667;21423;13468;7955
Werbung und Marktforschung;5163;18406;8612;9794
Rest;6781;19681;9817;9864
Sonst. wirtschaftl. Dienstleistungen;7380;107177;60636;46541
Öffentliche Verwaltung;142;166488;80031;86457
Erziehung und Unterricht;4379;80119;32666;47453
Gesundheits- und Sozialwesen;19354;129132;35259;93873
Kunst, Unterhaltung und Erholung;9010;29534;15985;13549
Sonst. Dienstleistungen;12591;41487;16171;25316
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;
;;;;
;;;;
