Produzierender Bereich (1) Wiens ohne Bauwesen nach Monaten 2022;;;;;;
Monat (2);Betriebe;Unselbstständig Beschäftigte;"Bezahlte
Arbeitsstunden";Bruttoverdienste;Auftragseingänge;"Wert der technischen
Gesamtproduktion"
;;;1.000 h;Mio. EUR;;
Jänner;3578;66503;10392,166;276,291;796,951;9102,495
Februar;3470;66459;10062,731;268,906;732,012;7992,355
März;3509;66808;10958,665;294,042;1317,921;9575,083
April;3516;66833;10319,172;305,02;759,778;7314,894
Mai;3588;67103;10692,115;376,655;805,638;7253,66
Juni;3471;67183;10650,68;415,157;999,665;6726,216
Juli;3485;67536;10558,973;285,424;714,737;8247,312
August;3487;67504;11026,326;289,119;641,304;9629,692
September;3494;67831;10892,804;286,682;855,153;9066,278
Oktober;3471;67823;10567,489;320,004;770,109;8607,37
November;3466;68018;10889,485;460,497;917,691;7693,875
Dezember;3456;67597;10650,537;327,035;1334,995;8204,011
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
"(1) Bergbau u. Gewinnung von Steinen u. Erden_ Herstellung von Waren_ Energieversorgung_ Wasserversorgung, Abwasser- u. Abfallentsorgung u. Beseitigung von Umweltverschmutzungen.
(2) Monatsende, vorläufige Ergebnisse.";;;;;;
;;;;;;
