Betriebe, Beschäftigte und weitere Kennzahlen in der Sachgütererzeugung in Wien 2020;;;;;;;;
Abteilung (ÖNACE 2008);Betriebe;"Beschäftigte im
Jahresdurchschnitt";;"Bruttolöhne
und -gehälter";Betriebserlöse;"Bezug von Waren- und
Dienstleistungen";"Lagerbestand 
Jahresende";"Bruttoinvestitionen
in Sachanlagen"
;;insgesamt;"darunter
unselbstständig";Mio. EUR;;;;
Insgesamt;2726;57270;55121;3022,547;20426,394;15902,76;4387,634;483,373
Nahrungs- und Futtermittel;318;7441;7173;232,785;1285,964;939,537;86,309;45,052
Getränkeherstellung;36;835;809;48,01;256,725;183,153;53,351;21,564
Textilien;50;316;276;8,039;47,075;31,225;5,077;0,571
Bekleidung;205;508;303;6,548;22,755;14,021;3,083;0,55
Leder/-waren) und Schuhe;37;156;120;2,808;9,162;4,996;1,671;0,708
Holzwaren_ Korbwaren;99;631;547;16,287;65,78;36,106;11,12;1,203
Papier/Pappe und Waren daraus;24;2050;2041;124,785;608,974;409,251;41,61;26,649
Druckerzeugnisse;172;1632;1506;81,772;282,861;155,733;29,832;7,254
Kokerei und Mineralölverarbeitung;1;;;;;;;
Chemischen Erzeugnisse;79;1827;1779;126,704;5823,899;5333,779;742,27;16,932
Pharmazeutische Erzeugnisse;48;6392;6362;436,203;1284,242;586,654;413,941;165,07
Gummi- und Kunststoffwaren;58;988;949;40,595;297,683;227,392;27,147;11,327
Glas(-waren), Keramik u. Ä.;113;997;900;43,916;223,969;212,092;13,749;4,788
Metallerzeugung und -bearbeitung;9;;;;;;;
Metallerzeugnisse;302;3237;3013;122,307;528,73;313,55;93,584;19,05
Datenverarbeitungsgeräte;111;2182;2123;123,973;523,319;320,236;73,254;9,287
Elektrische Ausrüstungen;76;5095;5050;362,089;1492,995;958,065;499,192;24,407
Maschinenbau;100;3210;3165;185,734;837,364;583,884;212,153;14,258
Kraftwagen und -teile;14;2195;2191;117,281;829,882;641,565;147,252;21,633
Sonstiger Fahrzeugbau;20;3614;3605;242,899;1131,393;1014,265;731,441;24,213
Möbel;152;1087;940;29,964;114,895;67,356;13,342;8,031
Sonstige Waren;453;3430;3010;130,875;2817,89;2578,665;463,589;16,15
Reparatur/Installation von Maschinen;249;9447;9259;538,973;1940,837;1291,235;724,667;44,676
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2020.;;;;;;;;
;;;;;;;;
;;;;;;;;
